"Council","Grade","Average","colour_filter"
"Aberdeen City","Wellbeing support",4,"Other"
"Aberdeen City","Care and support",4.04,"Other"
"Aberdeen City","Setting",3.94,"Other"
"Aberdeen City","Staffing",4.12,"Other"
"Aberdeen City","Leadership",4.08,"Other"
"Aberdeenshire","Wellbeing support",4,"Other"
"Aberdeenshire","Care and support",4.24590163934426,"Other"
"Aberdeenshire","Setting",4.13114754098361,"Other"
"Aberdeenshire","Staffing",4.29508196721311,"Other"
"Aberdeenshire","Leadership",4.13114754098361,"Other"
"Angus","Wellbeing support",3.84615384615385,"Angus"
"Angus","Care and support",4.23076923076923,"Angus"
"Angus","Setting",4,"Angus"
"Angus","Staffing",4.07692307692308,"Angus"
"Angus","Leadership",4.15384615384615,"Angus"
"Argyll & Bute","Wellbeing support",3.82352941176471,"Other"
"Argyll & Bute","Care and support",3.94117647058824,"Other"
"Argyll & Bute","Setting",4.05882352941176,"Other"
"Argyll & Bute","Staffing",3.94117647058824,"Other"
"Argyll & Bute","Leadership",3.88235294117647,"Other"
"City of Edinburgh","Wellbeing support",4.38961038961039,"Other"
"City of Edinburgh","Care and support",4.23376623376623,"Other"
"City of Edinburgh","Setting",4.38961038961039,"Other"
"City of Edinburgh","Staffing",4.25974025974026,"Other"
"City of Edinburgh","Leadership",4.45454545454545,"Other"
"Clackmannanshire","Wellbeing support",4.55555555555556,"Other"
"Clackmannanshire","Care and support",4.33333333333333,"Other"
"Clackmannanshire","Setting",4.55555555555556,"Other"
"Clackmannanshire","Staffing",4.66666666666667,"Other"
"Clackmannanshire","Leadership",4.44444444444444,"Other"
"Dumfries & Galloway","Wellbeing support",3.7741935483871,"Other"
"Dumfries & Galloway","Care and support",3.83870967741935,"Other"
"Dumfries & Galloway","Setting",3.70967741935484,"Other"
"Dumfries & Galloway","Staffing",3.93548387096774,"Other"
"Dumfries & Galloway","Leadership",3.7741935483871,"Other"
"Dundee City","Wellbeing support",4.14814814814815,"Dundee City"
"Dundee City","Care and support",4.23076923076923,"Dundee City"
"Dundee City","Setting",4.30769230769231,"Dundee City"
"Dundee City","Staffing",4.30769230769231,"Dundee City"
"Dundee City","Leadership",4.11111111111111,"Dundee City"
"East Ayrshire","Wellbeing support",4.21739130434783,"Other"
"East Ayrshire","Care and support",4.08695652173913,"Other"
"East Ayrshire","Setting",4.08695652173913,"Other"
"East Ayrshire","Staffing",4.30434782608696,"Other"
"East Ayrshire","Leadership",4.21739130434783,"Other"
"East Dunbartonshire","Wellbeing support",4.41176470588235,"Other"
"East Dunbartonshire","Care and support",4.47058823529412,"Other"
"East Dunbartonshire","Setting",4.4375,"Other"
"East Dunbartonshire","Staffing",4.58823529411765,"Other"
"East Dunbartonshire","Leadership",4.17647058823529,"Other"
