"Council","Grade","Average","colour_filter"
"Aberdeen City","Play and learning",4.40444444444444,"Other"
"Aberdeen City","Setting",4.44,"Other"
"Aberdeen City","Staffing",4.40606060606061,"Other"
"Aberdeen City","Leadership",4.35398230088496,"Other"
"Aberdeenshire","Play and learning",4.4318766066838,"Other"
"Aberdeenshire","Setting",4.47814910025707,"Other"
"Aberdeenshire","Staffing",4.47266881028939,"Other"
"Aberdeenshire","Leadership",4.2159383033419,"Other"
"Angus","Play and learning",4.61875,"Angus"
"Angus","Setting",4.64375,"Angus"
"Angus","Staffing",4.60583941605839,"Angus"
"Angus","Leadership",4.4375,"Angus"
"Argyll & Bute","Play and learning",4.50406504065041,"Other"
"Argyll & Bute","Setting",4.3739837398374,"Other"
"Argyll & Bute","Staffing",4.37755102040816,"Other"
"Argyll & Bute","Leadership",4.34959349593496,"Other"
"City of Edinburgh","Play and learning",4.46516393442623,"Other"
"City of Edinburgh","Setting",4.46516393442623,"Other"
"City of Edinburgh","Staffing",4.36898395721925,"Other"
"City of Edinburgh","Leadership",4.31707317073171,"Other"
"Clackmannanshire","Play and learning",4.54,"Other"
"Clackmannanshire","Setting",4.66,"Other"
"Clackmannanshire","Staffing",4.43589743589744,"Other"
"Clackmannanshire","Leadership",4.34,"Other"
"Dumfries & Galloway","Play and learning",4.40845070422535,"Other"
"Dumfries & Galloway","Setting",4.40140845070423,"Other"
"Dumfries & Galloway","Staffing",4.44444444444444,"Other"
"Dumfries & Galloway","Leadership",4.33802816901408,"Other"
"Dundee City","Play and learning",4.54545454545455,"Dundee City"
"Dundee City","Setting",4.51048951048951,"Dundee City"
"Dundee City","Staffing",4.48760330578512,"Dundee City"
"Dundee City","Leadership",4.34722222222222,"Dundee City"
"East Ayrshire","Play and learning",4.59333333333333,"Other"
"East Ayrshire","Setting",4.46,"Other"
"East Ayrshire","Staffing",4.3921568627451,"Other"
"East Ayrshire","Leadership",4.41059602649007,"Other"
"East Dunbartonshire","Play and learning",4.67586206896552,"Other"
"East Dunbartonshire","Setting",4.55862068965517,"Other"
"East Dunbartonshire","Staffing",4.49019607843137,"Other"
"East Dunbartonshire","Leadership",4.44827586206897,"Other"
"East Lothian","Play and learning",4.37323943661972,"Other"
"East Lothian","Setting",4.44366197183099,"Other"
"East Lothian","Staffing",4.27184466019417,"Other"
"East Lothian","Leadership",4.32167832167832,"Other"
"East Renfrewshire","Play and learning",4.79699248120301,"Other"
"East Renfrewshire","Setting",4.76691729323308,"Other"
"East Renfrewshire","Staffing",4.55555555555556,"Other"
"East Renfrewshire","Leadership",4.59701492537313,"Other"
"Falkirk","Play and learning",4.59024390243902,"Other"
"Falkirk","Setting",4.56585365853658,"Other"
"Falkirk","Staffing",4.4968152866242,"Other"
"Falkirk","Leadership",4.39024390243902,"Other"
"Fife","Play and learning",4.57142857142857,"Fife"
"Fife","Setting",4.54195011337869,"Fife"
"Fife","Staffing",4.53448275862069,"Fife"
"Fife","Leadership",4.36961451247166,"Fife"
"Glasgow City","Play and learning",4.57692307692308,"Other"
"Glasgow City","Setting",4.49759615384615,"Other"
"Glasgow City","Staffing",4.53508771929825,"Other"
"Glasgow City","Leadership",4.45432692307692,"Other"
"Highland","Play and learning",4.45317220543807,"Other"
"Highland","Setting",4.38972809667674,"Other"
"Highland","Staffing",4.3852140077821,"Other"
"Highland","Leadership",4.29305135951662,"Other"
"Inverclyde","Play and learning",4.66153846153846,"Other"
"Inverclyde","Setting",4.56923076923077,"Other"
"Inverclyde","Staffing",4.62222222222222,"Other"
"Inverclyde","Leadership",4.53846153846154,"Other"
"Midlothian","Play and learning",4.50806451612903,"Other"
"Midlothian","Setting",4.50806451612903,"Other"
"Midlothian","Staffing",4.51041666666667,"Other"
"Midlothian","Leadership",4.4758064516129,"Other"
"Moray","Play and learning",4.44927536231884,"Other"
"Moray","Setting",4.47101449275362,"Other"
"Moray","Staffing",4.32258064516129,"Other"
"Moray","Leadership",4.16666666666667,"Other"
"Na h-Eileanan Siar","Play and learning",4.58620689655172,"Other"
"Na h-Eileanan Siar","Setting",4.58620689655172,"Other"
"Na h-Eileanan Siar","Staffing",4.60869565217391,"Other"
"Na h-Eileanan Siar","Leadership",4.51724137931035,"Other"
"North Ayrshire","Play and learning",4.68361581920904,"Other"
"North Ayrshire","Setting",4.54237288135593,"Other"
"North Ayrshire","Staffing",4.39423076923077,"Other"
"North Ayrshire","Leadership",4.35593220338983,"Other"
"North Lanarkshire","Play and learning",4.60404624277457,"Other"
"North Lanarkshire","Setting",4.56936416184971,"Other"
"North Lanarkshire","Staffing",4.56031128404669,"Other"
"North Lanarkshire","Leadership",4.46242774566474,"Other"
"Orkney Islands","Play and learning",4.63157894736842,"Other"
"Orkney Islands","Setting",4.55263157894737,"Other"
"Orkney Islands","Staffing",4.59259259259259,"Other"
"Orkney Islands","Leadership",4.38461538461539,"Other"
"Perth & Kinross","Play and learning",4.53125,"Perth & Kinross"
"Perth & Kinross","Setting",4.53125,"Perth & Kinross"
"Perth & Kinross","Staffing",4.59712230215827,"Perth & Kinross"
"Perth & Kinross","Leadership",4.34895833333333,"Perth & Kinross"
"Renfrewshire","Play and learning",4.38815789473684,"Other"
"Renfrewshire","Setting",4.45394736842105,"Other"
"Renfrewshire","Staffing",4.28225806451613,"Other"
"Renfrewshire","Leadership",4.26973684210526,"Other"
"Scottish Borders","Play and learning",4.48872180451128,"Other"
"Scottish Borders","Setting",4.4812030075188,"Other"
"Scottish Borders","Staffing",4.45714285714286,"Other"
"Scottish Borders","Leadership",4.40601503759398,"Other"
"Shetland Islands","Play and learning",4.58620689655172,"Other"
"Shetland Islands","Setting",4.44827586206897,"Other"
"Shetland Islands","Staffing",4.6,"Other"
"Shetland Islands","Leadership",4.3448275862069,"Other"
"South Ayrshire","Play and learning",4.67272727272727,"Other"
"South Ayrshire","Setting",4.60909090909091,"Other"
"South Ayrshire","Staffing",4.5,"Other"
"South Ayrshire","Leadership",4.52727272727273,"Other"
"South Lanarkshire","Play and learning",4.51671732522796,"Other"
"South Lanarkshire","Setting",4.47112462006079,"Other"
"South Lanarkshire","Staffing",4.41767068273092,"Other"
"South Lanarkshire","Leadership",4.35866261398176,"Other"
"Stirling","Play and learning",4.7027027027027,"Stirling"
"Stirling","Setting",4.65765765765766,"Stirling"
"Stirling","Staffing",4.65060240963855,"Stirling"
"Stirling","Leadership",4.46846846846847,"Stirling"
"West Dunbartonshire","Play and learning",4.69117647058824,"Other"
"West Dunbartonshire","Setting",4.52941176470588,"Other"
"West Dunbartonshire","Staffing",4.63461538461539,"Other"
