"CareService","Date","Aberdeen City","Aberdeenshire","Angus","Argyll & Bute","City of Edinburgh","Clackmannanshire","Dumfries & Galloway","Dundee City","East Ayrshire","East Dunbartonshire","East Lothian","East Renfrewshire","Falkirk","Fife","Glasgow City","Highland","Inverclyde","Midlothian","Moray","Na h-Eileanan Siar","North Ayrshire","North Lanarkshire","Orkney Islands","outside Scotland","Perth & Kinross","Renfrewshire","Scottish Borders","Shetland Islands","South Ayrshire","South Lanarkshire","Stirling","West Dunbartonshire","West Lothian"
"Care Home Service","Jun 2017",65,80,36,29,95,12,56,38,36,25,22,16,41,117,142,91,32,17,27,11,37,41,10,0,50,38,28,12,36,77,36,17,46
"Care Home Service","Jul 2017",65,80,36,29,95,12,56,38,36,25,22,16,41,117,138,91,32,17,27,11,36,41,10,0,50,38,28,12,36,77,36,15,46
"Care Home Service","Aug 2017",65,80,36,29,95,12,56,38,36,25,22,16,41,119,138,92,31,17,26,11,36,41,10,0,50,38,28,12,36,77,36,15,46
"Care Home Service","Sep 2017",65,80,36,29,95,12,55,37,36,25,22,16,41,118,137,91,31,17,26,11,36,41,10,0,49,39,28,12,36,78,36,15,45
"Care Home Service","Oct 2017",65,81,36,29,95,12,55,37,36,26,22,16,41,118,137,91,31,16,26,11,36,41,10,0,49,39,28,12,37,78,37,15,45
"Care Home Service","Nov 2017",65,81,36,29,96,12,55,37,36,26,22,16,41,118,137,91,31,16,26,11,36,41,10,0,49,39,28,12,37,78,37,15,46
"Care Home Service","Dec 2017",65,81,36,29,97,12,54,37,36,27,22,16,41,118,137,91,31,17,26,11,37,41,10,0,49,39,28,13,37,79,37,15,46
"Care Home Service","Jan 2018",66,81,36,29,97,12,54,37,36,27,23,16,41,118,137,88,31,17,26,11,37,41,10,0,49,39,28,13,37,79,37,14,46
"Care Home Service","Feb 2018",65,81,36,29,97,12,54,37,36,27,23,16,41,118,137,88,31,17,26,11,37,41,10,0,49,39,28,13,37,79,37,14,46
"Care Home Service","Mar 2018",65,81,36,29,99,12,54,38,36,27,23,15,41,118,136,88,31,17,25,11,37,41,10,0,49,40,28,13,37,79,37,14,46
