"CareService","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Provided_by_Local_Authority","Date_Reg","CareHome_Main_Area_of_Care","Council_Area_Name","NumberStaff","Registered_Places","Client_group","GradeSpread","MinGrade","MaxGrade","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2122","Complaints_upheld_2223","Complaints_upheld_2324","Enforcements_issued_2122","Enforcements_issued_2223","Enforcements_issued_2324","any_requirements_2122","any_requirements_2223","any_requirements_2324","Last_inspection_Date"
"Day Care of Children","Day Care of Children (under 3s)","Private","Sunflower Nursery 2","Clydebank","G81 4HT","Sunflower Private Nursery Limited","No","2002_8",NA,"West Dunbartonshire",24,83,"Children","Mix",4,5,"Same","15/08/2019",NA,NA,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"09/07/2019"
"Support Service","Other than Care at home","Voluntary or Not for Profit","Threshold Glasgow Day Opportunities","Glasgow","G40 1DA","Church of Scotland Trading as Crossreach","No","2002_4",NA,"Glasgow City",12.6,50,"Adults","Mix",4,5,"Same","08/12/2017",5,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20/11/2017"
"Support Service","Care at Home","Voluntary or Not for Profit","JCS Wellbeing Hub","Giffnock","G46 6LD","Jewish Care Scotland","No","2002_4",NA,"East Renfrewshire",5,40,"Adults","Mix",4,5,"Same","15/05/2019",4,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25/03/2019"
"School Care Accommodation Service","Residential Special School","Voluntary or Not for Profit","Linn Moor Residential School","Peterculter","AB14 0PJ","Aberdeen Association of Social Service, a company limited by guarantee, trading as VSA","No","2002_4",NA,"Aberdeen City",92.22,21,"Children","5 or 6",5,5,"Same","08/11/2022",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"14/10/2022"
"Care Home Service","Older People","Voluntary or Not for Profit","Ruthrieston House","Aberdeen","AB10 7LN","Aberdeen Association of Social Service, a company limited by guarantee, trading as VSA","No","2002_4","Older people - dementia","Aberdeen City",19.7,40,"Adults","Mix",4,5,"Same","20/03/2023",4,4,4,4,5,NA,1,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"27/02/2023"
"Care Home Service","Mental Health Problems","Voluntary or Not for Profit","Arrdeir","Aberdeen","AB15 7PJ","Aberdeen Association of Social Service, a company limited by guarantee, trading as VSA","No","2002_4","Mental health problems (other than dementia)","Aberdeen City",7.74,11,"Adults","Mix",4,5,"Same","14/08/2019",5,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"28/04/2022"
"Care Home Service","Mental Health Problems","Voluntary or Not for Profit","Northfield Lodge","Aberdeen","AB16 7JY","Aberdeen Association of Social Service, a company limited by guarantee, trading as VSA","No","2002_4","Mental health problems (other than dementia)","Aberdeen City",7.74,18,"Adults","Mix",3,5,"Same","07/06/2022",4,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"17/05/2022"
"Care Home Service","Mental Health Problems","Voluntary or Not for Profit","VSA,450 Holburn Street","Aberdeen","AB11 6XQ","Aberdeen Association of Social Service, a company limited by guarantee, trading as VSA","No","2002_4","Mental health problems (other than dementia)","Aberdeen City",10.6,18,"Adults","Mix",3,4,"Same","19/05/2023",3,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"28/03/2023"
"Care Home Service","Mental Health Problems","Voluntary or Not for Profit","4 Rosemount Terrace","Aberdeen","AB25 2TG","Penumbra","No","2002_4","Mental health problems (other than dementia)","Aberdeen City",NA,5,"Adults","Mix",3,6,"Same","07/02/2023",4,4,6,5,3,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"13/01/2023"
"Care Home Service","Mental Health Problems","Voluntary or Not for Profit","40 Ellon Road","Aberdeen","AB23 8BX","Penumbra","No","2002_4","Mental health problems (other than dementia)","Aberdeen City",NA,6,"Adults","Mix",4,6,"Same","11/04/2023",5,5,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"21/03/2023"
