"Council","2021/22","2022/23","2023/24","2024/25","May 2024"
"Aberdeen City",6,12,12,0,50
"Aberdeenshire",3,7,10,2,62
"Angus",16,14,12,1,29
"Argyll & Bute",3,1,2,0,17
"City of Edinburgh",10,14,16,1,79
"Clackmannanshire",2,3,3,0,9
"Dumfries & Galloway",5,5,6,0,31
"Dundee City",8,14,11,2,27
"East Ayrshire",0,10,9,0,24
"East Dunbartonshire",3,6,5,0,18
"East Lothian",6,7,8,0,19
"East Renfrewshire",3,1,2,0,13
"Falkirk",11,4,11,1,30
"Fife",19,22,29,5,79
"Glasgow City",20,25,31,5,94
"Highland",7,7,2,3,62
"Inverclyde",3,3,2,1,18
"Midlothian",3,5,7,0,12
"Moray",2,7,5,0,16
"Na h-Eileanan Siar",0,0,0,0,9
"North Ayrshire",9,8,5,2,23
"North Lanarkshire",14,11,16,1,28
"Orkney Islands",0,0,0,0,5
"Perth & Kinross",10,11,25,2,41
"Renfrewshire",5,9,13,2,27
"Scottish Borders",1,7,5,1,26
"Shetland Islands",0,0,2,0,10
"South Ayrshire",2,9,14,0,34
"South Lanarkshire",30,16,18,2,56
"Stirling",1,6,5,0,22
"West Dunbartonshire",3,7,4,2,11
"West Lothian",14,9,8,0,31
