"Council","Wellbeing support","Care and support","Setting","Staffing","Leadership"
"Aberdeen City",4.20666666666667,4.27891156462585,3.98214285714286,4.34013605442177,4.12666666666667
"Aberdeenshire",4.35761589403973,4.37086092715232,4.25675675675676,4.36423841059603,4.27814569536424
"Angus",4.23943661971831,4.39130434782609,4.18421052631579,4.2463768115942,4.12676056338028
"Argyll & Bute",4.54794520547945,4.53424657534247,4.15384615384615,4.46478873239437,4.16438356164384
"City of Edinburgh",4.59466666666667,4.46866485013624,4.55045871559633,4.48767123287671,4.42513368983957
"Clackmannanshire",4.60606060606061,4.51515151515152,4.63636363636364,4.66666666666667,4.4375
"Dumfries & Galloway",4.37755102040816,4.41237113402062,4,4.47422680412371,4.31632653061224
"Dundee City",4.50393700787402,4.59055118110236,4.375,4.58267716535433,4.34645669291339
"East Ayrshire",4.35714285714286,4.4,4.17857142857143,4.3,4.04285714285714
"East Dunbartonshire",4.6530612244898,4.64583333333333,4.40909090909091,4.5531914893617,4.42857142857143
"East Lothian",4.31818181818182,4.33333333333333,4.20588235294118,4.31818181818182,4.18181818181818
"East Renfrewshire",4.58536585365854,4.63414634146341,4.76470588235294,4.4390243902439,4.46341463414634
"Falkirk",4.67889908256881,4.61538461538461,4.4,4.54807692307692,4.51376146788991
"Fife",4.17098445595855,4.31216931216931,4.28571428571429,4.17989417989418,4.17616580310881
"Glasgow City",4.54014598540146,4.5679012345679,4.34677419354839,4.53960396039604,4.29024390243902
"Highland",4.47282608695652,4.48066298342541,4.33333333333333,4.39444444444444,4.32786885245902
"Inverclyde",4.40983606557377,4.59016393442623,4.46153846153846,4.60655737704918,4.27868852459016
"Midlothian",4.21739130434783,4.21739130434783,3.94444444444444,3.97826086956522,4.10869565217391
"Moray",4.38095238095238,4.47619047619048,4.22727272727273,4.38095238095238,4.22222222222222
"Na h-Eileanan Siar",4.72727272727273,4.75757575757576,4.46153846153846,4.57575757575758,4.3030303030303
"North Ayrshire",4.45945945945946,4.45833333333333,4.25,4.34722222222222,4.5
"North Lanarkshire",4.40601503759398,4.31782945736434,4.2093023255814,4.28682170542636,4.18045112781955
"Orkney Islands",4.22857142857143,4.31428571428571,4.1,4.02857142857143,3.94285714285714
"Perth & Kinross",4.31192660550459,4.42201834862385,4.18181818181818,4.39449541284404,4.11009174311927
"Renfrewshire",4.52577319587629,4.51546391752577,4.41463414634146,4.52577319587629,4.30927835051546
"Scottish Borders",4.12987012987013,4.20779220779221,3.85714285714286,4.12987012987013,3.98701298701299
"Shetland Islands",4.53333333333333,4.83333333333333,4.38095238095238,4.46666666666667,4.43333333333333
"South Ayrshire",4.42682926829268,4.29268292682927,4.28947368421053,4.39024390243902,4.31707317073171
"South Lanarkshire",4.40397350993377,4.35333333333333,4.39506172839506,4.38,4.35099337748344
"Stirling",4.63793103448276,4.29824561403509,4.56,4.49122807017544,4.44827586206897
"West Dunbartonshire",4.57407407407407,4.62264150943396,4.52941176470588,4.55555555555556,4.25925925925926
"West Lothian",4.62264150943396,4.41176470588235,4.42857142857143,4.36274509803922,4.28571428571429
