"Council","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023","Nov 2023","Dec 2023","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024"
"Aberdeen City",2,3,11,2,4,3,1,16,8,5,3,2,2,4,4,3,11,6,7,2,3,4,4,1,3,4,5,5,2,6,6,2,3,1,3,7,3,4,10,11,5,3,3,2,1,0,3,2,3,0,3,4,2,3,24,3,8,4,2,4,2,7,7,2,1,0,3,2,4,4,6,3,2,6,5,1,4,4,2,6,3,1,1,2
"Aberdeenshire",4,3,5,1,5,5,4,7,10,6,1,5,4,8,5,4,8,9,7,6,6,8,2,2,3,10,5,5,3,10,12,4,2,2,6,3,2,5,3,13,10,2,4,6,4,5,1,6,3,3,7,8,7,4,5,1,9,13,2,6,5,5,1,2,6,6,2,5,5,4,8,1,5,8,7,4,7,3,2,4,4,7,5,5
"Angus",6,4,2,2,0,2,1,2,2,4,2,4,2,2,3,4,3,1,3,4,2,6,6,0,3,5,2,3,3,6,3,5,3,9,3,1,1,3,2,5,6,0,4,3,3,5,1,1,0,1,2,5,3,1,3,3,0,5,4,2,1,2,2,2,4,0,5,1,1,0,3,2,1,2,4,0,1,1,3,2,3,3,0,2
"Argyll & Bute",1,1,2,0,1,4,3,1,1,2,4,1,2,3,2,1,1,2,4,2,2,3,2,2,0,3,3,1,0,0,3,0,1,2,1,2,3,1,2,0,3,1,1,0,1,1,0,1,0,1,1,2,4,1,0,0,1,3,1,0,2,0,6,0,1,4,2,4,0,1,3,3,0,1,2,0,1,5,1,1,6,1,1,2
"City of Edinburgh",14,5,17,20,9,1,6,15,6,7,25,13,5,9,10,3,11,7,10,19,9,9,11,9,7,11,5,5,3,7,7,5,5,7,6,4,4,3,10,15,7,7,1,5,18,5,3,8,6,7,8,9,7,10,3,9,8,6,5,8,7,11,4,9,10,6,11,13,13,8,8,6,5,1,8,8,11,3,6,8,7,6,4,10
"Clackmannanshire",0,1,2,1,1,0,1,3,1,1,1,2,0,2,2,0,1,2,0,0,3,0,2,2,0,1,4,2,0,1,0,4,1,0,1,1,0,0,1,5,4,1,0,0,0,0,0,0,1,2,0,0,0,0,5,3,0,0,0,13,0,2,0,2,0,0,0,1,0,1,1,1,0,0,2,1,1,2,1,1,1,1,0,1
"Dumfries & Galloway",2,2,8,3,2,1,2,3,5,4,5,4,0,6,3,3,2,0,1,2,2,10,6,0,3,1,2,2,2,3,2,1,3,2,5,0,3,2,2,4,6,2,1,1,1,2,1,1,2,0,6,3,4,1,4,3,3,3,3,1,3,3,4,2,5,1,2,1,1,1,3,4,3,5,2,0,5,1,0,0,5,0,1,0
"Dundee City",3,1,4,3,4,0,2,4,8,3,5,2,1,2,8,4,2,4,2,4,1,2,5,1,3,16,12,1,3,3,6,3,2,8,2,2,1,1,1,3,5,0,1,0,3,2,1,1,1,3,1,1,2,1,4,6,1,3,4,4,2,0,3,0,0,1,1,4,6,5,3,5,3,4,1,5,3,1,4,1,1,2,2,4
"East Ayrshire",3,6,9,1,1,5,3,2,1,4,5,3,2,4,6,1,2,3,1,2,5,3,2,0,6,2,4,3,1,0,3,3,2,2,3,1,1,2,5,5,3,2,1,2,2,1,3,1,3,0,2,3,3,0,5,6,3,1,4,0,1,1,5,4,0,2,0,2,1,2,0,3,1,2,5,1,0,1,2,4,1,1,2,1
"East Lothian",0,3,3,2,6,0,0,2,1,0,8,3,1,1,3,2,2,0,2,5,1,4,0,0,2,5,4,1,5,1,0,2,3,3,0,1,1,4,4,5,6,2,2,2,1,0,3,1,1,6,2,3,2,1,4,0,5,3,7,1,2,2,1,1,1,0,2,1,0,1,2,4,2,3,0,3,1,2,0,2,1,3,1,2
