"CareService","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023","Sep 2023","Oct 2023"
"Adult Placement Service",0,0,0,2,0,0,0,0,0,0
"Care Home Service",0,2,5,8,13,6,4,5,8,1
"Child Minding",37,39,41,53,51,44,32,64,33,34
"Day Care of Children",5,16,11,20,13,15,21,23,10,10
"Housing Support Service",7,6,5,10,3,4,8,7,3,11
"Nurse Agency",0,0,1,1,5,2,2,0,0,0
"School Care Accommodation Service",0,0,0,0,0,0,0,2,1,0
"Secure Accommodation Service",0,0,0,0,0,1,0,0,0,0
"Support Service",12,10,10,14,12,7,11,9,7,11
"Offender Accommodation Service",0,0,0,0,0,0,0,0,0,0
"Child Care Agency",0,0,0,0,0,0,0,0,0,0
"Adoption Service",0,0,0,0,0,0,0,0,0,0
"Fostering Service",0,0,0,0,0,0,0,0,0,0
