"Date","Scotland"
"Jun 2017",65
"Jul 2017",65
"Aug 2017",65
"Sep 2017",65
"Oct 2017",65
"Nov 2017",65
"Dec 2017",65
"Jan 2018",66
"Feb 2018",65
"Mar 2018",65
"Apr 2018",65
"May 2018",65
"Jun 2018",65
"Jul 2018",64
"Aug 2018",64
"Sep 2018",64
"Oct 2018",64
"Nov 2018",64
"Dec 2018",66
"Jan 2019",66
"Feb 2019",66
"Mar 2019",66
"Apr 2019",67
"May 2019",66
"Jun 2019",65
"Jul 2019",65
"Aug 2019",65
"Sep 2019",65
"Oct 2019",64
"Nov 2019",64
"Dec 2019",64
"Jan 2020",64
"Feb 2020",64
"Mar 2020",63
"Apr 2020",62
"May 2020",62
"Jun 2020",62
"Jul 2020",62
"Aug 2020",62
"Sep 2020",62
"Oct 2020",62
"Nov 2020",62
"Dec 2020",62
"Jan 2021",62
"Feb 2021",63
"Mar 2021",63
"Apr 2021",63
"May 2021",63
"Jun 2021",63
"Jul 2021",63
"Aug 2021",63
"Sep 2021",63
"Oct 2021",63
"Nov 2021",63
"Dec 2021",62
"Jan 2022",61
"Feb 2022",61
"Mar 2022",61
"Apr 2022",61
"May 2022",60
"Jun 2022",60
"Jul 2022",60
"Aug 2022",60
"Sep 2022",61
"Oct 2022",61
"Nov 2022",61
"Dec 2022",60
"Jan 2023",61
"Feb 2023",61
"Mar 2023",61
"Apr 2023",60
"May 2023",60
"Jun 2023",59
"Jul 2023",59
"Aug 2023",59
"Sep 2023",58
"Oct 2023",58
"Nov 2023",58
"Dec 2023",57
"Jan 2024",57
"Feb 2024",57
"Mar 2024",57
"Apr 2024",57
"May 2024",57
"Jun 2017",80
"Jul 2017",80
"Aug 2017",80
"Sep 2017",80
"Oct 2017",81
"Nov 2017",81
"Dec 2017",81
"Jan 2018",81
"Feb 2018",81
"Mar 2018",81
"Apr 2018",81
"May 2018",81
"Jun 2018",80
"Jul 2018",81
"Aug 2018",80
"Sep 2018",80
"Oct 2018",79
"Nov 2018",79
"Dec 2018",79
"Jan 2019",79
"Feb 2019",79
"Mar 2019",79
"Apr 2019",79
"May 2019",78
"Jun 2019",78
"Jul 2019",78
"Aug 2019",78
"Sep 2019",78
"Oct 2019",78
"Nov 2019",78
"Dec 2019",78
"Jan 2020",78
"Feb 2020",78
"Mar 2020",77
"Apr 2020",77
"May 2020",77
"Jun 2020",77
"Jul 2020",76
"Aug 2020",76
"Sep 2020",75
"Oct 2020",74
"Nov 2020",74
"Dec 2020",73
"Jan 2021",74
"Feb 2021",73
"Mar 2021",72
"Apr 2021",73
"May 2021",74
"Jun 2021",75
"Jul 2021",75
"Aug 2021",75
"Sep 2021",75
"Oct 2021",75
"Nov 2021",75
"Dec 2021",74
"Jan 2022",74
"Feb 2022",74
"Mar 2022",74
"Apr 2022",74
"May 2022",74
"Jun 2022",74
"Jul 2022",74
"Aug 2022",74
"Sep 2022",72
"Oct 2022",72
"Nov 2022",72
"Dec 2022",72
"Jan 2023",72
"Feb 2023",72
"Mar 2023",72
"Apr 2023",71
"May 2023",71
"Jun 2023",71
"Jul 2023",71
"Aug 2023",71
"Sep 2023",70
"Oct 2023",70
"Nov 2023",70
"Dec 2023",70
"Jan 2024",70
"Feb 2024",70
"Mar 2024",70
"Apr 2024",70
"May 2024",71
"Jun 2017",36
"Jul 2017",36
"Aug 2017",36
"Sep 2017",36
"Oct 2017",36
"Nov 2017",36
"Dec 2017",36
"Jan 2018",36
"Feb 2018",36
"Mar 2018",36
"Apr 2018",36
"May 2018",36
"Jun 2018",36
"Jul 2018",36
"Aug 2018",36
"Sep 2018",36
"Oct 2018",36
"Nov 2018",36
"Dec 2018",36
"Jan 2019",36
"Feb 2019",36
"Mar 2019",36
"Apr 2019",35
"May 2019",35
"Jun 2019",35
"Jul 2019",35
"Aug 2019",35
"Sep 2019",35
"Oct 2019",35
"Nov 2019",35
"Dec 2019",35
"Jan 2020",35
"Feb 2020",35
"Mar 2020",35
"Apr 2020",35
"May 2020",35
"Jun 2020",35
"Jul 2020",35
"Aug 2020",36
"Sep 2020",36
"Oct 2020",36
"Nov 2020",36
"Dec 2020",36
"Jan 2021",36
"Feb 2021",36
"Mar 2021",36
"Apr 2021",36
"May 2021",36
"Jun 2021",37
"Jul 2021",37
"Aug 2021",37
"Sep 2021",37
"Oct 2021",37
"Nov 2021",37
"Dec 2021",37
"Jan 2022",37
"Feb 2022",37
"Mar 2022",37
"Apr 2022",37
"May 2022",38
"Jun 2022",38
"Jul 2022",38
"Aug 2022",37
"Sep 2022",37
"Oct 2022",37
"Nov 2022",37
"Dec 2022",37
