"Council","2021/22","2022/23","2023/24","2024/25","Services"
"Aberdeen City",4,4,1,0,253
"Aberdeenshire",6,7,9,0,420
"Angus",4,2,3,0,173
"Argyll & Bute",2,1,3,1,137
"City of Edinburgh",8,5,11,3,544
"Clackmannanshire",1,2,1,1,52
"Dumfries & Galloway",1,3,1,0,152
"Dundee City",1,4,5,1,148
"East Ayrshire",1,0,1,0,166
"East Dunbartonshire",0,2,4,0,150
"East Lothian",2,5,4,0,160
"East Renfrewshire",0,0,3,0,146
"Falkirk",1,2,2,0,216
"Fife",2,1,5,1,465
"Glasgow City",10,19,21,3,444
"Highland",1,3,5,0,360
"Inverclyde",1,2,1,1,68
"Midlothian",1,2,4,1,133
"Moray",1,1,2,0,160
"Na h-Eileanan Siar",0,0,0,0,32
"North Ayrshire",3,3,7,0,185
"North Lanarkshire",1,5,7,2,359
"Orkney Islands",0,0,0,0,43
"Perth & Kinross",6,2,1,0,203
"Renfrewshire",4,11,6,1,158
"Scottish Borders",0,0,3,0,144
"Shetland Islands",0,0,0,0,29
"South Ayrshire",2,0,2,0,116
"South Lanarkshire",3,7,8,7,351
"Stirling",2,1,2,0,120
"West Dunbartonshire",1,1,1,0,72
"West Lothian",2,9,10,0,269
"outside Scotland",0,0,0,0,3
