Date,Child Minding,Child Care Agency,Day Care of Children
Jun 2017,5344,23,3696
Jul 2017,5328,23,3698
Aug 2017,5316,23,3685
Sep 2017,5316,23,3686
Oct 2017,5299,23,3688
Nov 2017,5277,23,3686
Dec 2017,5257,23,3681
Jan 2018,5233,23,3665
Feb 2018,5212,24,3659
Mar 2018,5171,24,3642
Apr 2018,5147,23,3639
May 2018,5124,23,3636
Jun 2018,5111,23,3637
Jul 2018,5064,24,3623
Aug 2018,5042,24,3635
Sep 2018,5029,24,3637
Oct 2018,5006,24,3635
Nov 2018,4999,24,3631
Dec 2018,4978,23,3626
Jan 2019,4948,23,3622
Feb 2019,4886,22,3620
Mar 2019,4856,22,3615
Apr 2019,4825,21,3601
May 2019,4836,20,3600
Jun 2019,4818,20,3594
Jul 2019,4767,21,3598
Aug 2019,4718,20,3613
Sep 2019,4702,20,3608
Oct 2019,4693,19,3610
Nov 2019,4661,19,3609
Dec 2019,4644,19,3614
Jan 2020,4604,18,3613
Feb 2020,4564,18,3611
Mar 2020,4532,17,3599
Apr 2020,4499,16,3598
May 2020,4491,15,3596
Jun 2020,4478,15,3592
Jul 2020,4466,15,3590
Aug 2020,4423,15,3586
Sep 2020,4341,16,3577
Oct 2020,4287,16,3567
Nov 2020,4262,16,3556
Dec 2020,4236,16,3553
Jan 2021,4210,15,3544
Feb 2021,4189,15,3547
Mar 2021,4178,15,3548
Apr 2021,4158,15,3549
May 2021,4143,15,3550
Jun 2021,4122,15,3554
Jul 2021,4099,15,3558
Aug 2021,4063,15,3560
Sep 2021,4022,15,3551
Oct 2021,3973,15,3543
Nov 2021,3952,15,3542
Dec 2021,3891,15,3536
Jan 2022,3831,15,3527
Feb 2022,3780,15,3517
Mar 2022,3746,13,3515
Apr 2022,3703,13,3513
May 2022,3670,13,3510
Jun 2022,3637,13,3502
Jul 2022,3594,13,3496
Aug 2022,3545,13,3501
Sep 2022,3526,12,3489
Oct 2022,3495,11,3486
Nov 2022,3469,11,3477
Dec 2022,3442,11,3471
Jan 2023,3423,11,3474
Feb 2023,3404,11,3459
Mar 2023,3383,11,3457
Apr 2023,3343,11,3447
May 2023,3315,11,3445
Jun 2023,3278,11,3442
Jul 2023,3247,11,3434
Aug 2023,3210,11,3421
Sep 2023,3192,11,3416
Oct 2023,3174,11,3412
Nov 2023,3167,11,3403
Dec 2023,3150,11,3397
Jan 2024,3113,11,3394
Feb 2024,3107,11,3393
Mar 2024,3086,11,3392
Apr 2024,3065,11,3384
May 2024,3059,11,3384
