"Council","Setting","Staffing","Leadership","Play and learning"
"Aberdeen City",4.41150442477876,4.38787878787879,4.32599118942731,4.39380530973451
"Aberdeenshire",4.46938775510204,4.47115384615385,4.22448979591837,4.43622448979592
"Angus",4.6441717791411,4.58992805755396,4.44171779141104,4.61963190184049
"Argyll & Bute",4.40157480314961,4.3960396039604,4.37007874015748,4.51181102362205
"City of Edinburgh",4.47011952191235,4.36702127659574,4.31818181818182,4.46215139442231
"Clackmannanshire",4.69387755102041,4.44736842105263,4.3469387755102,4.55102040816327
"Dumfries & Galloway",4.38732394366197,4.44354838709677,4.33802816901408,4.40140845070423
"Dundee City",4.48275862068965,4.44262295081967,4.30821917808219,4.51724137931035
"East Ayrshire",4.45695364238411,4.38834951456311,4.41447368421053,4.59602649006623
"East Dunbartonshire",4.58,4.50485436893204,4.45333333333333,4.68666666666667
"East Lothian",4.43055555555556,4.27184466019417,4.31034482758621,4.36805555555556
"East Renfrewshire",4.77205882352941,4.58227848101266,4.5985401459854,4.79411764705882
"Falkirk",4.55502392344498,4.46835443037975,4.37799043062201,4.57416267942584
"Fife",4.54260089686099,4.52857142857143,4.3677130044843,4.5695067264574
"Glasgow City",4.49521531100478,4.533527696793,4.45454545454545,4.57416267942584
"Highland",4.38728323699422,4.37407407407407,4.29190751445087,4.46531791907514
"Inverclyde",4.56923076923077,4.6,4.52307692307692,4.64615384615385
"Midlothian",4.496,4.52577319587629,4.456,4.52
"Moray",4.47826086956522,4.32258064516129,4.17391304347826,4.45652173913043
"Na h-Eileanan Siar",4.58620689655172,4.60869565217391,4.51724137931035,4.58620689655172
"North Ayrshire",4.53591160220994,4.40566037735849,4.35911602209945,4.67955801104972
"North Lanarkshire",4.56980056980057,4.546875,4.45584045584046,4.59259259259259
"Orkney Islands",4.55263157894737,4.59259259259259,4.38461538461539,4.60526315789474
"Perth & Kinross",4.53333333333333,4.59712230215827,4.35384615384615,4.53846153846154
"Renfrewshire",4.45569620253165,4.28346456692913,4.25949367088608,4.39240506329114
"Scottish Borders",4.47142857142857,4.45454545454545,4.38571428571429,4.47142857142857
"Shetland Islands",4.51515151515152,4.55172413793103,4.33333333333333,4.63636363636364
"South Ayrshire",4.6036036036036,4.50588235294118,4.51351351351351,4.67567567567568
"South Lanarkshire",4.46987951807229,4.40322580645161,4.34939759036145,4.50903614457831
"Stirling",4.64912280701754,4.63953488372093,4.45614035087719,4.69298245614035
"West Dunbartonshire",4.55072463768116,4.63461538461539,4.55714285714286,4.69565217391304
"West Lothian",4.55094339622642,4.39102564102564,4.37358490566038,4.55094339622642
