"Date","Child Minding","Child Care Agency","Day Care of Children"
"Jun 2017",5523,23,3715
"Jul 2017",5510,23,3715
"Aug 2017",5483,23,3705
"Sep 2017",5476,23,3705
"Oct 2017",5462,23,3705
"Nov 2017",5447,23,3704
"Dec 2017",5426,23,3700
"Jan 2018",5394,23,3684
"Feb 2018",5366,24,3678
"Mar 2018",5334,24,3662
"Apr 2018",5308,24,3661
"May 2018",5285,24,3658
"Jun 2018",5268,24,3659
"Jul 2018",5217,24,3648
"Aug 2018",5170,24,3658
"Sep 2018",5155,24,3660
"Oct 2018",5135,24,3657
"Nov 2018",5127,24,3652
"Dec 2018",5108,23,3646
"Jan 2019",5075,23,3641
"Feb 2019",5006,22,3639
"Mar 2019",4972,22,3634
"Apr 2019",4949,22,3621
"May 2019",4953,21,3619
"Jun 2019",4928,21,3613
"Jul 2019",4882,22,3617
"Aug 2019",4828,21,3634
"Sep 2019",4809,21,3632
"Oct 2019",4804,21,3637
"Nov 2019",4771,21,3637
"Dec 2019",4751,21,3641
"Jan 2020",4707,20,3641
"Feb 2020",4672,20,3639
"Mar 2020",4656,19,3635
"Apr 2020",4621,18,3627
"May 2020",4615,17,3626
"Jun 2020",4596,17,3622
"Jul 2020",4579,16,3621
"Aug 2020",4527,16,3617
"Sep 2020",4457,17,3604
"Oct 2020",4394,17,3595
"Nov 2020",4361,16,3587
"Dec 2020",4330,16,3587
"Jan 2021",4301,15,3582
"Feb 2021",4281,15,3583
"Mar 2021",4263,15,3584
"Apr 2021",4254,15,3588
"May 2021",4252,15,3589
"Jun 2021",4240,0,3596
"Jul 2021",4221,0,3600
"Aug 2021",4186,15,3601
"Sep 2021",4139,15,3589
"Oct 2021",4087,15,3581
"Nov 2021",4062,15,3581
"Dec 2021",3998,0,3573
"Jan 2022",3936,15,3565
"Feb 2022",3886,15,3558
"Mar 2022",3841,13,3554
"Apr 2022",3796,13,3551
"May 2022",3762,13,3549
"Jun 2022",3731,13,3541
"Jul 2022",3689,13,3534
"Aug 2022",3637,13,3538
"Sep 2022",3624,12,3530
"Oct 2022",3590,11,3527
"Nov 2022",3555,11,3518
"Dec 2022",3530,11,3516
"Jan 2023",3506,11,3517
"Feb 2023",3484,11,3504
"Mar 2023",3462,11,3501
"Apr 2023",3417,11,3493
"May 2023",3386,11,3489
"Jun 2023",3350,11,3488
"Jul 2023",3327,11,3472
"Aug 2023",3282,11,3462
"Sep 2023",3270,11,3456
"Oct 2023",3249,11,3455
"Nov 2023",3242,11,3452
"Dec 2023",3225,11,3443
"Jan 2024",3185,11,3437
"Feb 2024",3177,11,3435
"Mar 2024",3156,11,3434
"Apr 2024",3139,11,3426
"May 2024",3128,11,3426
