"Council_Area_Name","All since 2021/22_Adults","All since 2021/22_Children","2023/24_Adults","2023/24_Children","2022/23_Adults","2022/23_Children","2021/22_Adults","2021/22_Children"
"Aberdeen City",28,8,6,0,12,4,10,4
"Aberdeenshire",24,19,8,6,7,7,9,6
"Angus",45,11,11,4,17,2,17,5
"Argyll & Bute",8,7,3,3,1,1,4,3
"City of Edinburgh",84,26,26,10,33,7,25,9
"Clackmannanshire",9,5,3,2,3,2,3,1
"Dumfries & Galloway",16,6,4,1,5,3,7,2
"Dundee City",51,13,11,5,25,4,15,4
"East Ayrshire",24,2,8,1,11,0,5,1
"East Dunbartonshire",15,8,5,5,7,2,3,1
"East Lothian",22,9,6,1,8,5,8,3
"East Renfrewshire",6,3,1,3,2,0,3,0
"Falkirk",23,4,5,1,5,2,13,1
"Fife",106,10,29,6,41,1,36,3
"Glasgow City",89,41,25,9,38,20,26,12
"Highland",33,9,6,4,12,3,15,2
"Inverclyde",23,6,6,3,10,2,7,1
"Midlothian",21,6,7,2,7,3,7,1
"Moray",16,4,2,1,10,1,4,2
"Na h-Eileanan Siar",0,0,0,0,0,0,0,0
"North Ayrshire",23,12,2,5,10,3,11,4
"North Lanarkshire",64,13,14,6,22,5,28,2
"Orkney Islands",1,0,0,0,1,0,0,0
"Perth & Kinross",45,9,15,0,18,3,12,6
"Renfrewshire",41,20,12,3,18,12,11,5
"Scottish Borders",17,3,6,2,10,1,1,0
"Shetland Islands",2,0,2,0,0,0,0,0
"South Ayrshire",28,3,11,1,13,0,4,2
"South Lanarkshire",90,14,21,4,27,7,42,3
"Stirling",16,4,5,1,9,1,2,2
"West Dunbartonshire",21,2,3,0,11,1,7,1
"West Lothian",42,21,8,7,13,10,21,4
"outside Scotland",0,0,0,0,0,0,0,0
