"Council_Area_Name","Enforcements in 22/23","Enforcements in 23/24","Enforcements in 24/25"
"Aberdeen City",0,4,1
"Aberdeenshire",2,1,1
"Angus",1,3,0
"City of Edinburgh",1,3,1
"Dumfries & Galloway",3,0,0
"Dundee City",0,2,1
"East Lothian",1,0,0
"East Renfrewshire",0,1,0
"Falkirk",0,1,0
"Fife",8,4,1
"Glasgow City",0,4,0
"Highland",1,1,2
"Inverclyde",2,1,0
"Moray",1,2,0
"North Lanarkshire",2,3,0
"Perth & Kinross",1,2,1
"Renfrewshire",3,0,0
"South Ayrshire",0,1,0
"South Lanarkshire",4,2,0
"Stirling",0,3,1
"West Lothian",2,2,0
"outside Scotland",0,15,0
