"","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"1","Older People","Private","Cowdray Club","Aberdeen","AB11 6UD","Renaissance Care (No1) Limited","2011_11","Aberdeen City","Same","04/09/2023",5,5,5,5,5,NA,NA,NA,"Inspected but no requirements",NA,"28/07/2023",5,0,0
"2","Older People","Private","Rubislaw Park Care Home","Aberdeen","AB15 8DA","Rubislaw Care LLP","2015_4","Aberdeen City","Same","12/06/2023",5,5,5,5,5,NA,NA,NA,"Inspected but no requirements",NA,"05/06/2023",5,0,0
"3","Older People","Private","Laurels Lodge Care Home","Aberdeen","AB24 2UL","Laurels Care Home Limited","2020_8","Aberdeen City","Same","20/03/2024",5,5,5,5,5,NA,NA,NA,"Inspected but no requirements",NA,"27/02/2024",5,0,0
"4","Older People","Private","Ashley House Residential Home - Care Home","Aberdeen","AB15 4EJ","Retcare Limited","2015_9","Aberdeen City","Same","29/11/2023",5,5,5,5,4,NA,NA,"Yes","Inspected but no requirements",NA,"22/11/2023",4.8,0,0
"5","Older People","Private","Summerhill Home","Aberdeen","AB15 6HU","The Trustees Of Summerhill Home","2002_4","Aberdeen City","Same","29/11/2023",4,5,5,5,4,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"17/11/2023",4.6,0,0
"6","Older People","Voluntary or Not for Profit","Northcote Lodge Care Home","Aberdeen","AB15 7UB","Northcote Lodge Trust","2010_6","Aberdeen City","Same","26/03/2024",4,4,5,5,5,NA,NA,NA,"Inspected but no requirements",NA,"14/03/2024",4.6,0,0
"7","Older People","Private","Bon Accord Care - Fergus House","Aberdeen","AB21 7DE","Bon Accord Care","2013_8","Aberdeen City","Same","13/02/2023",5,5,4,4,5,NA,NA,"Inspected but no requirements",NA,NA,"09/01/2023",4.6,0,0
"8","Older People","Voluntary or Not for Profit","Crosby House","Aberdeen","AB25 3BD","Aberdeen Association of Social Service, a company limited by guarantee, trading as VSA","2011_10","Aberdeen City","Same","24/11/2023",5,5,4,4,5,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"31/10/2023",4.6,1,0
"9","Older People","Voluntary or Not for Profit","Simeon Care for the Elderly Limited","Aberdeen","AB15 9BN","Simeon Care For The Elderly Ltd","2002_4","Aberdeen City","Same","02/05/2024",5,4,4,4,5,NA,NA,NA,"Inspected but no requirements",NA,"26/03/2024",4.4,0,0
"10","Older People","Voluntary or Not for Profit","Ruthrieston House","Aberdeen","AB10 7LN","Aberdeen Association of Social Service, a company limited by guarantee, trading as VSA","2002_4","Aberdeen City","Same","20/03/2023",4,4,4,4,5,NA,NA,"Inspected but no requirements",NA,"Inspected but no requirements","21/06/2024",4.2,0,0
