"Council_Area_Name","Wellbeing support","Care and support","Setting","Staffing","Leadership","Average grade"
"Aberdeen City",4.11111111111111,4.03703703703704,4.11111111111111,4.07407407407407,4.22222222222222,4.11111111111111
"Aberdeenshire",3.97297297297297,4.08108108108108,4.08108108108108,4.18918918918919,4.08108108108108,4.08108108108108
"Angus",4.1304347826087,4.26086956521739,4.04347826086957,4.26086956521739,4.26086956521739,4.19130434782609
"Argyll & Bute",3.875,3.875,3.9375,4,3.875,3.9125
"City of Edinburgh",4.3728813559322,4.15254237288136,4.40677966101695,4.22033898305085,4.40677966101695,4.31186440677966
"Clackmannanshire",4,4,4.16666666666667,4.33333333333333,4.16666666666667,4.13333333333333
"Dumfries & Galloway",3.76923076923077,3.80769230769231,3.57692307692308,3.92307692307692,3.73076923076923,3.76153846153846
"Dundee City",4.25,4.15,4.25,4.1,4.15,4.18
"East Ayrshire",4.36842105263158,4.21052631578947,4.10526315789474,4.21052631578947,4.26315789473684,4.23157894736842
"East Dunbartonshire",4.46153846153846,4.38461538461539,4.33333333333333,4.46153846153846,4.38461538461539,4.41538461538462
"East Lothian",4,3.85714285714286,3.92857142857143,3.92857142857143,4.14285714285714,3.97142857142857
"East Renfrewshire",4.15384615384615,4,4.46153846153846,4.23076923076923,4,4.16923076923077
"Falkirk",4.4,4.4,4.1,4.3,4.35,4.31
"Fife",4.08823529411765,3.91044776119403,4,4,4.14705882352941,4.03823529411765
"Glasgow City",4.06779661016949,3.84745762711864,4.08474576271186,4.05084745762712,3.91525423728814,3.99322033898305
"Highland",4.24489795918367,4.10416666666667,4.16666666666667,4.1875,3.97959183673469,4.12857142857143
"Inverclyde",3.91666666666667,4,4.08333333333333,4.16666666666667,3.91666666666667,4.01666666666667
"Midlothian",4,3.7,3.9,3.8,4.1,3.9
"Moray",4.15384615384615,4.15384615384615,4.15384615384615,4.15384615384615,4.38461538461539,4.2
"Na h-Eileanan Siar",4,4.125,4.625,4.25,3.875,4.175
"North Ayrshire",4.125,4.0625,4.125,3.875,4.25,4.0875
"North Lanarkshire",3.95833333333333,3.91666666666667,4,3.91666666666667,3.79166666666667,3.91666666666667
"Orkney Islands",4,4.33333333333333,4.33333333333333,4.33333333333333,4,4.2
"Perth & Kinross",3.94117647058824,3.94117647058824,3.97058823529412,4.14705882352941,3.82352941176471,3.96470588235294
"Renfrewshire",4,4,4.22727272727273,4.09090909090909,4.09090909090909,4.08181818181818
"Scottish Borders",4,3.82608695652174,4.09090909090909,3.90909090909091,3.91304347826087,3.94782608695652
"Shetland Islands",3.77777777777778,4.66666666666667,4.22222222222222,3.88888888888889,3.88888888888889,4.08888888888889
"South Ayrshire",4.32,4.2,4.16,4.2,4.32,4.24
"South Lanarkshire",4.15789473684211,3.92105263157895,3.78947368421053,4.05263157894737,3.86842105263158,3.95789473684211
"Stirling",4.64285714285714,4.21428571428571,4.57142857142857,4.5,4.42857142857143,4.47142857142857
"West Dunbartonshire",3.66666666666667,4.11111111111111,4.22222222222222,4,3.66666666666667,3.93333333333333
"West Lothian",4.625,4.21428571428571,4.21428571428571,4.35714285714286,4.25,4.3875
