"","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","first_reqs_2425","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"1","Private","Jack and Jill Nursery School","Elgin","IV30 6YP","Torridon Education Group Ltd","2017_12","Moray","Same","18/01/2019",NA,NA,5,6,6,6,NA,NA,NA,NA,NA,"10/12/2018",NA,5.75,0,0
"2","Voluntary or Not for Profit","V.I.P. Childcare - Moray","Elgin","IV30 1UE","V.I.P. Childcare - Moray","2007_11","Moray","Same","29/10/2021",NA,NA,6,6,5,5,NA,NA,NA,NA,NA,"03/09/2021",NA,5.5,0,0
"3","Voluntary or Not for Profit","Miltonduff Pre-school Group","Elgin","IV30 8TY","Miltonduff Pre-school Group","2002_4","Moray","Same","22/10/2018",NA,NA,5,5,4,4,NA,NA,NA,NA,NA,"29/08/2018",NA,4.5,0,0
"4","Voluntary or Not for Profit","Stramash Outdoor Nursery, Elgin","Elgin","IV30 8XJ","Stramash Social Enterprise","2015_7","Moray","Same","02/08/2021",NA,NA,4,4,4,5,NA,NA,NA,NA,NA,"07/06/2021",NA,4.25,0,0
"5","Voluntary or Not for Profit","St. Sylvester's Nursery","Elgin","IV30 1DA","St. Sylvester's Nursery","2002_4","Moray","Same","03/09/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"01/06/2021",NA,4,0,0
"6","Private","The College Nursery","Elgin","IV30 1JJ","The College Nursery","2002_4","Moray","Same","11/01/2023",NA,NA,4,4,4,4,NA,NA,"Inspected but no requirements",NA,NA,"10/11/2022",NA,4,0,0
"7","Private","Bishopmill Pre-school Centre","Elgin","IV30 4DY","Torridon Education Group Ltd","2002_4","Moray","Same","21/06/2023",NA,NA,3,5,4,4,NA,NA,"Inspected but no requirements",NA,NA,"31/03/2023",NA,4,0,0
"8","Private","Rainbow Castle Childcare","Elgin","IV30 1AP","Moray Leisure Limited","2002_4","Moray","Same","04/08/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"21/06/2021",NA,4,0,0
"9","Local Authority","Lhanbryde Primary School Nursery","Elgin","IV30 8PD","The Moray Council","2002_4","Moray","Same","14/10/2022",NA,NA,4,4,4,4,NA,NA,"Inspected but no requirements",NA,NA,"24/08/2022",NA,4,0,0
"10","Private","Liberty Kids","Elgin","IV30 1QH","Liberty Child Care Holdings Limited","2013_4","Moray","Same","28/01/2022",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"09/12/2021",NA,4,0,0
"11","Private","Earthtime's Forest School Nursery","Elgin","IV30 5QB","Earthtime for All Ltd","2018_8","Moray","Same","06/11/2023",NA,NA,5,3,3,4,NA,NA,NA,"Inspected but no requirements",NA,"05/10/2023",NA,3.75,2,0
"12","Private","The Magic Roundabout Childcare Centre Ltd -  Southfield","Elgin","IV30 6GQ","The Magic Roundabout Childcare Centre Ltd","2020_8","Moray","Same","09/02/2024",NA,NA,4,4,3,3,NA,NA,NA,"Inspected but no requirements",NA,"10/01/2024",NA,3.5,0,0
"13","Private","Curious Minds Education Centre","Elgin","IV30 1EE","Curious Minds Education Centre Ltd","2016_6","Moray","Same","29/08/2023",NA,NA,4,3,3,3,NA,NA,"Yes","Inspected but no requirements","Inspected but no requirements","15/05/2024",NA,3.25,0,0
"14","Private","Ark Childcare Ltd","Elgin","IV30 8UW","Ark Childcare Ltd","2004_10","Moray","Same","04/10/2023",NA,NA,4,3,3,3,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","29/05/2024",NA,3.25,1,0
