"","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"1","Older People","Voluntary or Not for Profit","Isobel Fraser Home","Inverness","IV2 4AE","Isobel Fraser Home","2018_3","Highland","Same","21/08/2024",5,4,5,5,5,NA,NA,"Inspected but no requirements",NA,"Inspected but no requirements","31/07/2024",4.8,0,0
"2","Older People","Private","Highview Care Home","Inverness","IV3 8SD","Barchester Healthcare Ltd","2007_1","Highland","Same","18/05/2022",4,5,5,5,5,NA,NA,"Inspected but no requirements",NA,NA,"09/05/2022",4.8,1,0
"3","Older People","Voluntary or Not for Profit","Ballifeary House","Inverness","IV3 5SQ","Free Presbyterian Church of Scotland","2002_4","Highland","Same","06/06/2023",5,4,4,4,5,NA,NA,"Yes","Inspected but no requirements",NA,"19/05/2023",4.4,0,0
"4","Older People","Health Board","Ach-an-Eas (Care Home)","Inverness","IV3 5NX","NHS Highland","2012_3","Highland","Same","16/11/2022",4,5,5,4,4,NA,NA,"Inspected but no requirements",NA,NA,"13/10/2022",4.4,0,0
"5","Older People","Private","Daviot Care Home","Inverness","IV2 5XQ","Daviot Care Limited","2010_10","Highland","Same","04/05/2023",4,4,5,4,4,NA,NA,NA,"Inspected but no requirements",NA,"25/04/2023",4.2,0,0
"6","Older People","Private","Culduthel Care Home","Inverness","IV2 4WS","Culduthel Care Limited","2017_3","Highland","Same","21/07/2022",4,4,4,4,5,NA,NA,"Inspected but no requirements",NA,NA,"24/06/2022",4.2,0,0
"7","Older People","Voluntary or Not for Profit","Aden House (Care Home)","Inverness","IV2 3HX","Malcolm McKinlay","2002_4","Highland","Same","17/08/2023",4,4,4,4,4,NA,NA,NA,"Inspected but no requirements",NA,"14/07/2023",4,1,0
"8","Older People","Private","Southside Care Home","Inverness","IV2 4XA","Southside Nursing Home Ltd","2002_4","Highland","Same","15/07/2022",4,4,4,4,4,1,NA,"Inspected but no requirements",NA,NA,"15/06/2022",4,1,0
"9","Older People","Private","Kingsmills Care Home","Inverness","IV2 3RE","Renaissance Care (No1) Limited","2020_4","Highland","Same","22/08/2024",3,4,4,3,4,1,1,NA,NA,"Yes","17/07/2024",3.6,1,1
"10","Older People","Voluntary or Not for Profit","Cameron House (Care Home)","Inverness","IV2 4YG","Church of Scotland Trading as Crossreach","2002_4","Highland","Decline","18/09/2024",2,2,3,2,2,1,NA,"Inspected but no requirements",NA,"Yes","21/08/2024",2.2,1,0
"11","Older People","Private","Castlehill Care Home","Inverness","IV2 5GH","Simply Inverness Ltd","2019_12","Highland","Same","30/07/2024",2,2,3,2,2,3,1,NA,"Inspected but no requirements","Yes","14/06/2024",2.2,3,1
