"","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","first_reqs_2425","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"1","Local Authority","Family Centre - Merkinch","Inverness","IV3 8HY","Highland Council","2007_3","Highland","Same","07/03/2019",NA,NA,5,5,5,5,NA,NA,NA,NA,"Inspected but no requirements","23/04/2024",NA,5,0,0
"2","Private","Cradlehall Nursery","Inverness","IV2 5WD","Childcare Highland Ltd","2015_7","Highland","Same","18/10/2018",NA,NA,5,5,5,5,NA,NA,NA,NA,"Inspected but no requirements","06/05/2024",NA,5,1,0
"3","Private","Green Tree Nursery","Inverness","IV2 7YU","Green Tree Nursery Ltd","2016_6","Highland","Same","30/09/2019",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,"09/08/2019",NA,5,1,0
"4","Private","Les Enfants Nursery (Inshes)","Inverness","IV2 3TN","Les Enfants Nurseries Ltd","2009_5","Highland","Same","19/07/2022",NA,NA,5,5,4,5,NA,NA,"Inspected but no requirements",NA,NA,"30/05/2022",NA,4.75,0,0
"5","Private","Busy Bees@ Inverness","Inverness","IV2 4JY","Busy Bees Nurseries (Scotland) Limited","2002_4","Highland","Same","05/05/2023",NA,NA,4,5,4,5,NA,NA,"Yes",NA,NA,"20/03/2023",NA,4.5,0,0
"6","Private","Les Enfants Nursery","Inverness","IV2 5FT","Les Enfants Nurseries Ltd","2006_8","Highland","Same","17/01/2022",NA,NA,5,4,4,5,NA,NA,NA,NA,NA,"07/12/2021",NA,4.5,0,0
"7","Private","Tiny Tots Nursery (Inverness)","Inverness","IV2 7HQ","Hann, Carole","2002_4","Highland","Same","06/12/2019",NA,NA,4,4,4,5,NA,NA,NA,NA,NA,"27/09/2019",NA,4.25,0,0
"8","Voluntary or Not for Profit","Limetree Children's Nursery & Out of School Club","Inverness","IV3 5AU","Limetree Childrens Nursery","2002_4","Highland","Same","27/02/2024",NA,NA,4,4,4,4,NA,NA,NA,"Inspected but no requirements",NA,"06/02/2024",NA,4,0,0
"9","Voluntary or Not for Profit","Stramash Outdoor Nursery Tornagrain","Inverness","IV2 8BD","Stramash Social Enterprise","2018_8","Highland","Same","02/08/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"07/06/2021",NA,4,0,0
"10","Local Authority","The Butterfly Rooms","Inverness","IV2 4HZ","Highland Council","2019_6","Highland","Same","24/08/2022",NA,NA,4,4,4,4,NA,NA,"Inspected but no requirements",NA,NA,"14/06/2022",NA,4,0,0
"11","Voluntary or Not for Profit","Wimberley Estate Childcare Centre","Inverness","IV2 3YB","CALA Integrated Services","2011_1","Highland","Same","25/08/2023",NA,NA,4,3,3,4,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","14/05/2024",NA,3.5,0,0
"12","Voluntary or Not for Profit","CALA Beechwood ELC: Inverness College UHI","Inverness","IV2 5NA","CALA Integrated Services","2021_7","Highland","Same","04/12/2023",NA,NA,3,3,3,3,NA,NA,NA,"Inspected but no requirements",NA,"29/09/2023",NA,3,0,0
