"Council_Area_Name","Setting","Staffing","Leadership","Play and learning","Average grade"
"Aberdeen City",4.31818181818182,4.34090909090909,4.45454545454545,4.34090909090909,4.36363636363636
"Aberdeenshire",4.32631578947368,4.42105263157895,4.2421052631579,4.33684210526316,4.33157894736842
"Angus",4.55882352941176,4.44117647058824,4.5,4.47058823529412,4.49264705882353
"Argyll & Bute",4.3125,4.375,4.21875,4.3125,4.3046875
"City of Edinburgh",4.33552631578947,4.33552631578947,4.23026315789474,4.29605263157895,4.29934210526316
"Clackmannanshire",4.58823529411765,4.47058823529412,4.47058823529412,4.41176470588235,4.48529411764706
"Dumfries & Galloway",4.23529411764706,4.45098039215686,4.31372549019608,4.27450980392157,4.31862745098039
"Dundee City",4.4,4.46666666666667,4.33333333333333,4.35555555555556,4.38888888888889
"East Ayrshire",4.2258064516129,4.38709677419355,4.19354838709677,4.35483870967742,4.29032258064516
"East Dunbartonshire",4.28571428571429,4.28571428571429,4.11428571428571,4.42857142857143,4.27857142857143
"East Lothian",4.04,4.08,3.96,3.92,4
"East Renfrewshire",4.38888888888889,4.33333333333333,4.27777777777778,4.38888888888889,4.34722222222222
"Falkirk",4.33333333333333,4.37037037037037,4.2962962962963,4.2962962962963,4.32407407407407
"Fife",4.52380952380952,4.55952380952381,4.47619047619048,4.51190476190476,4.51785714285714
"Glasgow City",4.41477272727273,4.45454545454545,4.41477272727273,4.41477272727273,4.42471590909091
"Highland",4.29090909090909,4.41818181818182,4.23636363636364,4.23636363636364,4.29545454545455
"Inverclyde",4.52941176470588,4.52941176470588,4.52941176470588,4.47058823529412,4.51470588235294
"Midlothian",4.17142857142857,4.42857142857143,4.28571428571429,4.25714285714286,4.28571428571429
"Moray",4.30769230769231,4.25641025641026,4.05128205128205,4.20512820512821,4.20512820512821
"Na h-Eileanan Siar",4.35,4.5,4.45,4.4,4.425
"North Ayrshire",4.27586206896552,4.27586206896552,4.24137931034483,4.37931034482759,4.29310344827586
"North Lanarkshire",4.5125,4.5375,4.4875,4.55,4.521875
"Orkney Islands",4.5,4.6,4.3125,4.6875,4.52604166666667
"Perth & Kinross",4.49090909090909,4.67272727272727,4.36363636363636,4.49090909090909,4.50454545454545
"Renfrewshire",4.29090909090909,4.29090909090909,4.27272727272727,4.27272727272727,4.28181818181818
"Scottish Borders",4.35555555555556,4.44444444444444,4.22222222222222,4.28888888888889,4.32777777777778
"Shetland Islands",4.5,4.375,4.5,4.5,4.46875
"South Ayrshire",4.66666666666667,4.63888888888889,4.63888888888889,4.61111111111111,4.63888888888889
"South Lanarkshire",4.33720930232558,4.34883720930233,4.34883720930233,4.38372093023256,4.3546511627907
"Stirling",4.7741935483871,4.7741935483871,4.80645161290323,4.80645161290323,4.79032258064516
"West Dunbartonshire",4.45,4.5,4.4,4.5,4.4625
"West Lothian",4.38,4.34,4.22,4.24,4.295
"outside Scotland",5,5,5,5,5
