"","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"1","Day Care of Children (under 3s)","Local Authority","Fairview School Nursery","Perth","PH1 1DF","Perth & Kinross Council","2002_4","Perth & Kinross","Same","26/04/2019",NA,NA,6,6,6,6,NA,NA,NA,NA,NA,"25/03/2019",6,0,0
"2","Day Care of Children (under 3s)","Local Authority","Riverside Primary School","Perth","PH1 3BB","Perth & Kinross Council","2002_4","Perth & Kinross","Same","22/04/2022",NA,NA,5,5,5,6,NA,NA,NA,NA,NA,"04/03/2022",5.25,0,0
"3","Day Care of Children (under 3s)","Local Authority","Inchture Primary School Nursery","Perth","PH14 9RT","Perth & Kinross Council","2002_4","Perth & Kinross","Same","02/05/2023",NA,NA,5,5,6,5,NA,NA,"Inspected but no requirements",NA,NA,"20/03/2023",5.25,0,0
"4","Day Care of Children (under 3s)","Private","Little Steps Childcare","Perth","PH1 4DX","Claire Bell trading as Little Steps Childcare","2009_9","Perth & Kinross","Same","21/09/2021",NA,NA,5,5,5,5,NA,NA,NA,NA,"Inspected but no requirements","09/05/2024",5,0,0
"5","Day Care of Children (under 3s)","Private","Paddingtons Nursery","Perth","PH2 8AA","Paddingtons Nursery LLP","2015_7","Perth & Kinross","Same","09/07/2018",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,"03/07/2018",5,0,0
"6","Day Care of Children (under 3s)","Voluntary or Not for Profit","Humpty Dumpty Community Nursery","Perth","PH2 6QJ","Humpty Dumpty Community Nursery","2002_4","Perth & Kinross","Same","19/06/2024",NA,NA,4,5,5,5,NA,NA,NA,NA,"Inspected but no requirements","22/05/2024",4.75,0,0
"7","Day Care of Children (under 3s)","Local Authority","Goodlyburn and City of Perth Early Childhood Centre","Perth","PH1 2NT","Perth & Kinross Council","2002_4","Perth & Kinross","Same","06/03/2024",NA,NA,4,5,5,5,NA,NA,"Yes","Inspected but no requirements",NA,"08/02/2024",4.75,0,0
"8","Day Care of Children (under 3s)","Local Authority","Oakbank Primary School Nursery","Perth","PH1 1NA","Perth & Kinross Council","2002_4","Perth & Kinross","Same","01/09/2022",NA,NA,5,5,4,5,NA,NA,"Inspected but no requirements",NA,NA,"16/06/2022",4.75,0,0
"9","Day Care of Children (under 3s)","Private","The Wendy House","Perth","PH1 1JD","Catriona Davie trading as The Wendy House","2008_7","Perth & Kinross","Same","30/10/2019",NA,NA,5,5,4,5,NA,NA,NA,NA,NA,"24/09/2019",4.75,0,0
"10","Day Care of Children (under 3s)","Private","Fair City Munchkins Day Nursery","Perth","PH1 1DA","Fair City Munchkins Day Nursery Ltd","2015_3","Perth & Kinross","Same","26/09/2023",NA,NA,5,5,5,4,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"13/09/2023",4.75,0,0
