"","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"1","Older People","Voluntary or Not for Profit","Gowanlea","Stirling","FK7 8LW","Gowanlea","2002_4","Stirling","Same","20/03/2024",5,5,6,5,5,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"13/03/2024",5.2,0,0
"2","Older People","Private","Northcare Residences","Stirling","FK8 1AA","Northcare (Scotland) Ltd","2023_7","Stirling","Same","19/06/2024",5,5,5,5,5,NA,NA,NA,NA,"Inspected but no requirements","18/06/2024",5,0,0
"3","Older People","Private","Fairview Nursing Home","Stirling","FK7 8JW","HC-One Limited","2011_10","Stirling","Same","04/09/2024",5,4,5,4,5,NA,NA,"Inspected but no requirements","Inspected but no requirements","Inspected but no requirements","08/08/2024",4.6,0,0
"4","Older People","Local Authority","Bellfield Centre","Stirling","FK8 2AU","Stirling Council","2018_11","Stirling","Same","10/10/2023",5,4,5,5,4,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"05/10/2023",4.6,2,0
"5","Older People","Private","Forthbank Nursing Home","Stirling","FK8 1RR","HC-One Limited","2011_10","Stirling","Same","02/09/2024",5,5,4,5,4,1,NA,"Inspected but no requirements","Inspected but no requirements","Inspected but no requirements","29/08/2024",4.6,3,0
"6","Older People","Private","Wallace View","Stirling","FK9 5GF","MMCG (CCH) (3) Limited","2014_1","Stirling","Same","07/12/2023",5,4,4,4,5,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"14/11/2023",4.4,1,0
"7","Older People","Private","Annfield House","Stirling","FK8 2BJ","HC-One Limited","2011_10","Stirling","Same","08/01/2024",4,4,4,5,4,NA,NA,"Inspected but no requirements","Yes",NA,"14/12/2023",4.2,0,0
"8","Older People","Private","Roselea Court Care Home","Stirling","FK8 2AP","Roselea Court Care Limited","2021_11","Stirling","Same","30/05/2023",4,4,5,4,4,NA,NA,"Yes","Inspected but no requirements",NA,"04/05/2023",4.2,1,0
"9","Older People","Voluntary or Not for Profit","Westerlands","Stirling","FK8 2AQ","Westerlands Association","2002_4","Stirling","Same","12/02/2024",4,4,4,4,4,NA,NA,"Yes","Yes",NA,"05/02/2024",4,0,0
"10","Older People","Private","Oakeshott House","Stirling","FK7 7XE","Stirling Care Home Limited","2021_9","Stirling","Same","31/05/2024",4,4,4,4,4,NA,NA,"Inspected but no requirements","Yes","Yes","30/05/2024",4,3,0
