"","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"1","Day Care of Children (under 3s)","Local Authority","Hillview Nursery","Stirling","FK7 9DU","Stirling Council","2002_4","Stirling","Same","02/04/2019",NA,NA,5,5,6,6,NA,NA,NA,NA,NA,"22/02/2019",5.5,0,0
"2","Day Care of Children (under 3s)","Local Authority","Arnprior Nursery","Stirling","FK8 3HA","Stirling Council","2002_4","Stirling","Same","19/04/2019",NA,NA,6,6,5,5,NA,NA,NA,NA,NA,"05/03/2019",5.5,0,0
"3","Day Care of Children (under 3s)","Local Authority","Wellgreen Nursery","Stirling","FK8 2DY","Stirling Council","2002_4","Stirling","Same","05/10/2022",NA,NA,5,6,6,5,NA,NA,"Inspected but no requirements",NA,NA,"06/09/2022",5.5,0,0
"4","Day Care of Children (under 3s)","Voluntary or Not for Profit","Riverside Out of School Care","Stirling","FK8 1UJ","Riverside Out of School Care a Scottish Charitable Incorporated Organisation","2015_8","Stirling","Same","19/02/2020",NA,NA,6,5,5,6,NA,NA,NA,NA,NA,"22/01/2020",5.5,0,0
"5","Day Care of Children (under 3s)","Private","Psychology Kindergarten","Stirling","FK9 4LA","Psychology Kindergarten","2002_4","Stirling","Same","05/02/2019",NA,NA,5,5,5,6,NA,NA,NA,NA,"Inspected but no requirements","30/05/2024",5.25,0,0
"6","Day Care of Children (under 3s)","Voluntary or Not for Profit","Kippen Playgroup and Toddlers","Stirling","FK8 3DT","Kippen Playgroup & Toddlers Management Committee","2002_4","Stirling","Improve","17/06/2024",NA,NA,5,5,5,5,NA,NA,NA,NA,"Inspected but no requirements","21/05/2024",5,0,0
"7","Day Care of Children (under 3s)","Local Authority","Creche & Play Programmes","Stirling","FK8 1SH","Stirling Council","2002_4","Stirling","Same","09/10/2018",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,"25/09/2018",5,0,0
"8","Day Care of Children (under 3s)","Local Authority","Cornton Nursery","Stirling","FK9 5DN","Stirling Council","2002_4","Stirling","Same","16/01/2023",NA,NA,5,5,5,5,NA,NA,"Inspected but no requirements",NA,NA,"28/11/2022",5,0,0
"9","Day Care of Children (under 3s)","Local Authority","Fallin Nursery & Out of School Care","Stirling","FK7 7EJ","Stirling Council","2002_4","Stirling","Same","03/11/2023",NA,NA,5,5,5,5,NA,NA,NA,"Inspected but no requirements",NA,"19/09/2023",5,0,0
"10","Day Care of Children (under 3s)","Local Authority","St. Ninians Primary School Nursery","Stirling","FK7 9HN","Stirling Council","2002_4","Stirling","Same","07/09/2023",NA,NA,5,5,5,5,NA,NA,NA,"Inspected but no requirements",NA,"17/08/2023",5,0,0
"11","Day Care of Children (under 3s)","Private","Lecropt Ltd","Stirling","FK9 4NB","Lecropt Ltd","2003_8","Stirling","Same","13/05/2024",NA,NA,5,5,5,5,NA,NA,NA,NA,"Inspected but no requirements","26/04/2024",5,0,0
"12","Day Care of Children (under 3s)","Local Authority","Cowie Nursery","Stirling","FK7 7FE","Stirling Council","2002_4","Stirling","Same","16/06/2021",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,"24/05/2021",5,0,0
"13","Day Care of Children (under 3s)","Private","Cambusbarron Village Nursery","Stirling","FK7 9NU","Cambusbarron Village Nursery CIC","2019_8","Stirling","Same","28/09/2021",NA,NA,5,5,5,5,NA,NA,NA,NA,NA,"13/09/2021",5,0,0
"14","Day Care of Children (under 3s)","Local Authority","Park Drive Nursery","Stirling","FK7 0EH","Stirling Council","2002_4","Stirling","Same","03/10/2023",NA,NA,5,5,5,5,NA,NA,NA,"Inspected but no requirements",NA,"12/09/2023",5,1,0
"15","Day Care of Children (under 3s)","Local Authority","Raploch Nursery","Stirling","FK8 1SD","Stirling Council","2002_4","Stirling","Same","31/10/2023",NA,NA,5,4,5,5,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"05/10/2023",4.75,0,0
