"Provider","Name","Town","Clients","Grades published","Wellbeing support","Care and support","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 21/22","Enforcements since 21/22"
"Voluntary or Not for Profit","St. Margaret's Children and Family Care Society","Glasgow","Children","13/03/2024",5,5,5,5,"22/02/2024","2004_11",0,0
"Voluntary or Not for Profit","Care Visions Fostering","Stirling","Children","18/12/2023",3,3,5,4,"01/11/2023","2006_6",0,0
"Local Authority","Dumfries & Galloway Adoption Service","Dumfries","Children","05/02/2024",1,2,2,1,"29/11/2023","2005_6",0,0
"Local Authority","North Ayrshire Council - Adoption Service","Irvine","Children","24/07/2019",5,5,5,5,"04/06/2019","2005_7",0,0
"Voluntary or Not for Profit","Fosterplus (Fostercare) Ltd","Glasgow","Children","06/12/2019",4,4,4,3,"08/09/2022","2005_12",1,1
"Voluntary or Not for Profit","St. Andrew's Children's Society Adoption Service","Edinburgh","Children","28/02/2020",5,5,5,5,"07/02/2020","2005_11",0,0
"Voluntary or Not for Profit","St. Andrew's Children's Society Fostering Service","Edinburgh","Children","19/03/2020",5,5,5,5,"07/02/2020","2005_11",0,0
"Local Authority","Angus Council Adoption Services","Arbroath","Children","19/12/2018",4,4,4,5,"20/03/2024","2005_11",0,0
"Voluntary or Not for Profit","SWIIS Foster Care - Scotland","Dunfermline","Children","30/10/2018",5,5,5,5,"26/07/2018","2005_6",0,0
"Local Authority","Perth & Kinross Council - Adoption Service","Perth","Children","18/07/2022",5,4,5,5,"31/05/2022","2005_10",0,0
"Voluntary or Not for Profit","Scottish Adoption - Adoption Service","Edinburgh","Children","04/07/2023",5,5,6,5,"23/05/2023","2005_12",0,0
"Local Authority","Highland Council Adoption Service","Inverness","Children","19/02/2018",4,4,5,4,"15/03/2024","2005_5",0,0
"Local Authority","Highland Council Fostering Service","Inverness","Children","19/02/2018",4,4,5,4,"15/03/2024","2005_11",0,0
"Local Authority","Moray Adoption Service","Elgin","Children","21/08/2023",4,4,4,4,"06/07/2023","2005_12",0,0
"Local Authority","Moray Fostering Service","Elgin","Children","21/08/2023",4,4,4,4,"06/07/2023","2005_12",0,0
"Local Authority","Orkney Adoption Service","Kirkwall","Children","16/11/2023",2,2,3,2,"23/10/2023","2005_12",0,0
"Local Authority","East Ayrshire Council Fostering Service","Kilmarnock","Children","08/01/2024",5,4,5,5,"06/10/2023","2005_10",0,0
"Local Authority","Orkney Fostering Service","Kirkwall","Children","16/11/2023",2,3,3,2,"23/10/2023","2005_12",0,0
"Voluntary or Not for Profit","Barnardo's Scotland Fostering - Glasgow","Glasgow","Children","19/04/2023",3,5,4,3,"22/03/2023","2005_12",0,0
"Local Authority","North Lanarkshire Council - Fostering Service","Airdrie","Children","22/01/2018",5,5,5,5,"09/02/2023","2005_12",0,0
"Local Authority","North Lanarkshire Council - Adoption Service","Airdrie","Children","09/02/2018",5,5,5,5,"09/02/2023","2005_12",0,0
"Voluntary or Not for Profit","Intensive Fostering Services","Paisley","Children","08/01/2024",5,6,5,5,"13/12/2023","2005_11",0,0
"Local Authority","Argyll and Bute Council Adoption Service","Oban","Children","15/07/2019",5,5,5,4,"13/06/2019","2005_12",0,0
"Local Authority","Argyll and Bute Council Fostering Services","Oban","Children","16/07/2019",5,5,5,4,"13/06/2019","2005_12",0,0
"Local Authority","East Renfrewshire Council Adoption Service","Glasgow","Children","25/11/2019",5,5,5,5,"11/10/2019","2005_12",0,0
"Local Authority","East Renfrewshire Council Fostering Service","Glasgow","Children","08/01/2020",5,5,5,5,"11/10/2019","2005_12",0,0
"Local Authority","Glasgow City Council Adoption Service","Glasgow","Children","31/07/2023",3,3,4,3,"15/06/2023","2005_12",0,0
"Local Authority","Glasgow City Council Fostering Service","Glasgow","Children","27/07/2023",3,4,4,3,"15/06/2023","2005_12",2,2
"Voluntary or Not for Profit","Action for Children - Foster Care","Glasgow","Children","05/02/2024",5,5,5,5,"20/12/2023","2005_12",0,0
"Local Authority","Dundee City Council - Adoption Service","Dundee","Children","05/02/2018",5,5,4,4,"18/11/2022","2005_10",0,0
"Local Authority","South Ayrshire Council Adoption Service","Ayr","Children","11/08/2023",4,4,4,5,"14/07/2023","2005_7",0,0
"Local Authority","South Ayrshire Council Fostering Service","Ayr","Children","14/08/2023",4,4,4,4,"14/07/2023","2005_7",0,0
"Local Authority","C.E.C. Adoption Service","Edinburgh","Children","26/09/2023",3,4,5,4,"12/09/2023","2005_12",0,0
"Local Authority","C.E.C. Fostering Service","Edinburgh","Children","26/09/2023",4,5,4,4,"12/09/2023","2005_12",0,0
