"Subtype","Provider","Name","Town","Council","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"Older People","Voluntary or Not for Profit","Ruthrieston House","Aberdeen","Aberdeen City","20/03/2023",4,4,4,4,5,"21/06/2024","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Arrdeir","Aberdeen","Aberdeen City","14/08/2019",5,5,5,5,4,"28/04/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Northfield Lodge","Aberdeen","Aberdeen City","07/06/2022",4,4,3,5,4,"17/05/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","VSA,450 Holburn Street","Aberdeen","Aberdeen City","19/05/2023",3,4,3,4,3,"28/03/2023","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","40 Ellon Road","Aberdeen","Aberdeen City","11/04/2023",5,5,6,5,4,"21/03/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Bob Cooney Court","Aberdeen","Aberdeen City","09/12/2022",3,3,4,3,4,"14/10/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Cornerstone Stevenson Court","Aberdeen","Aberdeen City","22/12/2022",5,4,3,5,4,"21/11/2022","2002_4",0,0
"Alcohol & Drug Misuse","Voluntary or Not for Profit","Wernham House","Aberdeen","Aberdeen City","21/05/2024",5,5,3,5,4,"12/04/2024","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Blackwood Care - Raeden Court Care Home","Aberdeen","Aberdeen City","14/05/2024",3,4,2,4,3,"22/04/2024","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Leggart Terrace Service","Aberdeen","Aberdeen City","28/02/2024",4,4,4,4,4,"29/01/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","153 Victoria Street","Aberdeen","Aberdeen City","13/05/2024",3,5,5,4,5,"12/04/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Berryden Mills","Aberdeen","Aberdeen City","04/07/2023",4,5,5,5,5,"07/06/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","71 Westburn Road","Aberdeen","Aberdeen City","07/06/2022",4,3,4,4,4,"05/05/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","31 Two Mile Cross","Aberdeen","Aberdeen City","27/02/2024",3,3,3,4,3,"19/02/2024","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Seabank House","Aberdeen","Aberdeen City","04/03/2024",4,4,3,4,4,"31/01/2024","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Aberlea House","Aberdeen","Aberdeen City","09/10/2023",3,3,4,3,3,"08/09/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","CSA Young Adult Residential Care","Aberdeen","Aberdeen City","26/09/2023",5,5,5,5,5,"01/09/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Simeon Care for the Elderly Limited","Aberdeen","Aberdeen City","02/05/2024",5,4,4,4,5,"26/03/2024","2002_4",0,0
"Older People","Private","Summerhill Home","Aberdeen","Aberdeen City","29/11/2023",4,5,5,5,4,"17/11/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Tigh-A'Chomainn","Peterculter","Aberdeen City","06/12/2023",4,4,3,4,3,"10/11/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","The Bungalow","Stonehaven","Aberdeenshire","29/04/2024",3,4,5,4,3,"19/04/2024","2002_4",0,0
"Older People","Voluntary or Not for Profit","Balmedie House","Aberdeen","Aberdeenshire","27/02/2023",3,3,3,3,3,"30/01/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Clashfarquhar House","Stonehaven","Aberdeenshire","26/02/2024",4,4,4,5,4,"14/02/2024","2002_4",0,0
"Older People","Voluntary or Not for Profit","Bellfield Home","Banchory","Aberdeenshire","26/09/2023",4,4,4,4,4,"01/09/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","6 School Park","Fraserburgh","Aberdeenshire","18/10/2022",4,4,5,4,5,"14/09/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","2 Park Vale","Peterhead","Aberdeenshire","16/01/2023",4,5,5,4,4,"09/12/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Crudenlea","Stonehaven","Aberdeenshire","07/05/2024",3,4,3,4,3,"25/04/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","9 Riverside Drive","Stonehaven","Aberdeenshire","20/03/2024",4,4,4,4,4,"07/03/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","18 West Park","Montrose","Aberdeenshire","20/03/2024",4,4,4,4,4,"13/03/2024","2002_4",0,0
"Older People","Local Authority","Grangepark Home","Peterhead","Aberdeenshire","26/06/2024",5,4,5,5,5,"09/05/2024","2002_4",0,0
"Older People","Local Authority","Ythanvale Home","Ellon","Aberdeenshire","09/04/2024",4,5,5,5,4,"21/02/2024","2002_4",0,0
"Older People","Local Authority","Durnhythe","Banff","Aberdeenshire","13/07/2023",4,4,4,4,3,"20/06/2023","2002_4",0,0
"Older People","Local Authority","Allachburn","Aboyne","Aberdeenshire","22/09/2023",4,4,4,4,4,"21/07/2023","2002_4",1,0
"Older People","Local Authority","Edenholme","Stonehaven","Aberdeenshire","13/09/2022",4,5,5,5,5,"11/08/2022","2002_4",0,0
"Older People","Local Authority","Faithlie","Fraserburgh","Aberdeenshire","06/12/2023",4,4,4,4,4,"13/11/2023","2002_4",0,0
"Older People","Local Authority","Westbank House","Inverurie","Aberdeenshire","19/02/2024",4,4,4,4,4,"10/01/2024","2002_4",0,1
"Learning Disabilities","Local Authority","Meadowview Respite","Peterhead","Aberdeenshire","06/12/2022",4,5,3,5,5,"29/09/2022","2002_4",0,0
