"","Subtype","Provider","Name","Council","Grades published","Setting","Staffing","Leadership","Care and play","Complaints upheld since 22/23","Total"
"1","Under 3s","Private","Sunflower Nursery 2","West Dunbartonshire","15/08/2019",5,4,5,5,0,19
"2","Under 3s","Private","University of Dundee Nursery","Dundee City","17/01/2024",4,4,4,3,0,15
"3","Over 3s","Voluntary or Not for Profit","Glebelands Out Of School Care Club","Dundee City","22/06/2022",4,5,4,5,0,18
"4","Over 3s","Voluntary or Not for Profit","Kids Fun House","Dundee City","31/03/2023",4,5,4,5,0,18
"5","Under 3s","Private","Kiddycare Day Nursery","Dundee City","20/05/2024",3,4,4,3,0,14
"6","Over 3s","Voluntary or Not for Profit","Happy Hours Out Of School Club","Dundee City","05/06/2023",3,4,3,3,0,13
"7","Over 3s","Voluntary or Not for Profit","Lochee Out Of School Club","Dundee City","24/11/2023",4,3,2,3,0,12
"8","Over 3s","Voluntary or Not for Profit","Menzieshill Out of School Care Club","Dundee City","01/06/2023",5,5,4,5,0,19
"9","Under 3s","Private","Nursery Rhymes","Dundee City","04/10/2019",4,5,4,5,0,18
"10","Under 3s","Health Board","Little Acorns Day Nursery","Aberdeen City","21/10/2021",5,5,5,5,1,20
"11","Under 3s","Voluntary or Not for Profit","Milltimber Playgroup","Aberdeen City","05/02/2020",4,4,4,4,0,16
"12","Under 3s","Private","Abacus Pre-school Nursery - King Street","Aberdeen City","18/10/2021",5,5,5,5,0,20
"13","Under 3s","Voluntary or Not for Profit","Peterculter Playgroup","Aberdeen City","01/03/2024",4,4,4,4,0,16
"14","Under 3s","Voluntary or Not for Profit","Midstocket Playgroup","Aberdeen City","05/02/2020",4,4,5,5,0,18
"15","Under 3s","Voluntary or Not for Profit","St. Devenicks Playgroup","Aberdeen City","22/04/2024",4,5,5,4,0,18
"16","Under 3s","Private","Step By Step Pre-school Nursery","Aberdeen City","19/08/2019",5,4,5,5,0,19
"17","Under 3s","Health Board","Woodend Nursery","Aberdeen City","20/12/2023",5,5,5,5,0,20
"18","Over 3s","Local Authority","Cults Out of School Care","Aberdeen City","18/09/2019",4,4,4,5,0,17
"19","Over 3s","Voluntary or Not for Profit","Dyce Out Of School Club","Aberdeen City","09/08/2017",4,4,4,4,0,16
"20","Over 3s","Local Authority","Culter Out of School Care","Aberdeen City","09/01/2024",5,5,4,5,0,19
"21","Over 3s","Local Authority","Cornhill Out of School Care","Aberdeen City","19/05/2023",4,4,4,4,0,16
"22","Over 3s","Local Authority","Ferryhill Out of School Care","Aberdeen City","18/10/2017",4,4,4,4,0,16
"23","Over 3s","Voluntary or Not for Profit","First Class Out Of School Scheme","Aberdeen City","23/04/2024",4,5,4,4,0,17
"24","Over 3s","Local Authority","Kirkhill Out of School Care","Aberdeen City","04/09/2020",4,4,4,4,0,16
"25","Over 3s","Local Authority","Mile End Out Of School Care","Aberdeen City","26/05/2017",5,5,5,5,0,20
"26","Over 3s","Voluntary or Not for Profit","Woodside Partnership Out Of School Care Service","Aberdeen City","25/11/2019",4,4,4,4,0,16
"27","Under 3s","Voluntary or Not for Profit","Fersands Family Centre Nursery & Creche","Aberdeen City","23/03/2020",5,4,4,5,0,18
"28","Over 3s","Voluntary or Not for Profit","Autism & Neurodiversity North Scotland - Aberdeen Playscheme","Aberdeen City","16/08/2023",4,5,5,5,0,19
"29","Under 3s","Voluntary or Not for Profit","Auchenblae Pre-school Group","Aberdeenshire","05/10/2022",5,5,4,5,0,19
"30","Over 3s","Local Authority","Banchory Out of School Clubs (BOSCATS)","Aberdeenshire","08/12/2022",4,4,4,4,0,16
"31","Over 3s","Local Authority","Bervie Out Of School Team","Aberdeenshire","27/02/2024",4,5,4,4,0,17
"32","Under 3s","Voluntary or Not for Profit","Bourtree Pre-school","Aberdeenshire","17/01/2024",4,5,4,4,0,17
"33","Under 3s","Voluntary or Not for Profit","Inverbervie Pre-school Group","Aberdeenshire","26/06/2023",4,5,5,5,0,19
"34","Over 3s","Voluntary or Not for Profit","Laurencekirk Out Of School Club (loosc)","Aberdeenshire","07/11/2019",5,4,4,4,0,17
"35","Under 3s","Voluntary or Not for Profit","The Hut - Lumphanan Preschool","Aberdeenshire","27/02/2024",5,5,4,5,0,19
"36","Over 3s","Voluntary or Not for Profit","Newtonhill Out of School Club","Aberdeenshire","26/06/2023",4,4,4,4,0,16
"37","Under 3s","Voluntary or Not for Profit","Torphins Playgroup","Aberdeenshire","13/11/2019",4,4,4,4,0,16
"38","Over 3s","Voluntary or Not for Profit","Auchnagatt & District Pre-School Centre","Aberdeenshire","09/08/2023",4,4,4,4,0,16
"39","Under 3s","Voluntary or Not for Profit","Auchterless Pre-school Playgroup","Aberdeenshire","21/09/2023",4,4,4,4,0,16
"40","Under 3s","Voluntary or Not for Profit","Crudie Playgroup","Aberdeenshire","05/08/2021",4,4,4,4,0,16
"41","Under 3s","Voluntary or Not for Profit","Gardenstown Playschool","Aberdeenshire","13/11/2023",3,4,4,4,0,15
"42","Over 3s","Voluntary or Not for Profit","Hatton Playgroup","Aberdeenshire","19/02/2024",4,4,4,4,0,16
"43","Under 3s","Voluntary or Not for Profit","Auld Kirk Nursery","Aberdeenshire","23/05/2023",4,5,5,4,0,18
"44","Over 3s","Local Authority","Oscars - Mintlaw Out of School Club","Aberdeenshire","07/01/2022",4,4,4,4,0,16
"45","Over 3s","Private","Scoobys After School Club","Aberdeenshire","03/07/2023",4,4,4,4,0,16
"46","Under 3s","Voluntary or Not for Profit","St. Kanes Early Learning and Childcare Centre","Aberdeenshire","25/01/2022",4,4,4,4,0,16
"47","Under 3s","Voluntary or Not for Profit","Strichen Playgroup","Aberdeenshire","29/10/2019",5,5,5,5,0,20
"48","Under 3s","Voluntary or Not for Profit","Stuartfield Preschool Group","Aberdeenshire","14/03/2024",4,5,4,4,0,17
"49","Under 3s","Voluntary or Not for Profit","Turriff Playgroup Ltd","Aberdeenshire","14/11/2019",4,4,5,5,0,18
"50","Over 3s","Local Authority","Balmedie Out of School Club","Aberdeenshire","22/12/2023",4,5,4,4,0,17
"51","Under 3s","Voluntary or Not for Profit","Denman Pre-school","Aberdeenshire","08/12/2022",4,4,4,4,0,16
"52","Over 3s","Local Authority","Ellon Out Of School Club","Aberdeenshire","03/09/2018",4,4,4,5,0,17
"53","Under 3s","Voluntary or Not for Profit","Gordon Park Early Learning and Childcare","Aberdeenshire","06/11/2018",4,4,5,5,0,18
"54","Over 3s","Voluntary or Not for Profit","Inverurie Out Of School Club","Aberdeenshire","27/01/2023",5,5,5,4,0,19
"55","Over 3s","Voluntary or Not for Profit","Kemnay Breakfast and After School Club","Aberdeenshire","12/12/2023",4,4,3,4,0,15
"56","Under 3s","Voluntary or Not for Profit","Kiddiwinks Playgroup","Aberdeenshire","27/09/2023",4,4,3,4,0,15
"57","Over 3s","Voluntary or Not for Profit","Meldrum After School Klub (mask)","Aberdeenshire","23/05/2023",4,4,4,4,0,16
"58","Under 3s","Voluntary or Not for Profit","Monymusk Playgroup","Aberdeenshire","13/07/2022",5,5,5,5,0,20
"59","Under 3s","Voluntary or Not for Profit","Newburgh Preschool","Aberdeenshire","02/07/2018",4,5,4,5,0,18
"60","Over 3s","Private","Newmachar After School Club","Aberdeenshire","05/03/2024",4,3,2,3,0,12
"61","Under 3s","Voluntary or Not for Profit","Old Rayne Preschool","Aberdeenshire","05/05/2020",4,4,4,4,0,16
"62","Under 3s","Voluntary or Not for Profit","Scout Hall Playgroup","Aberdeenshire","30/04/2024",4,5,4,4,0,17
"63","Over 3s","Voluntary or Not for Profit","St. Andrews Church Playgroup","Aberdeenshire","15/11/2019",5,5,4,5,0,19
"64","Under 3s","Voluntary or Not for Profit","Strathburn Park Playgroup","Aberdeenshire","21/12/2022",4,4,4,4,0,16
"65","Under 3s","Voluntary or Not for Profit","Udny Station Pre-School Playgroup","Aberdeenshire","03/10/2023",4,4,4,4,0,16
"66","Over 3s","Local Authority","Westhill Kidz Klub","Aberdeenshire","09/11/2021",4,5,4,4,0,17
"67","Over 3s","Voluntary or Not for Profit","Angus Special Playscheme - Coastal","Angus","30/11/2018",4,5,4,5,0,18
"68","Over 3s","Voluntary or Not for Profit","Angus Special Playscheme 121","Angus","23/08/2019",5,5,5,5,0,20
"69","Over 3s","Voluntary or Not for Profit","Carlogie Fun Club","Angus","06/06/2023",5,5,4,5,0,19
"70","Under 3s","Voluntary or Not for Profit","Charleston Pre School Playgroup","Angus","23/05/2023",5,5,5,5,0,20
"71","Under 3s","Voluntary or Not for Profit","Chimes Playgroup","Angus","16/04/2024",4,4,4,4,0,16
"72","Under 3s","Private","Ferryden Playgroup","Angus","24/05/2024",5,5,5,5,0,20
"73","Under 3s","Voluntary or Not for Profit","Friockheim & Kinnell Playgroup","Angus","27/06/2023",4,4,4,4,0,16
"74","Under 3s","Voluntary or Not for Profit","Grange Pre-School Playgroup","Angus","10/03/2023",4,5,4,4,0,17
"75","Over 3s","Voluntary or Not for Profit","Inverbrothock Out Of School Care Club","Angus","04/12/2023",4,5,5,4,0,18
"76","Under 3s","Voluntary or Not for Profit","Inverbrothock Playgroup","Angus","08/03/2023",5,5,5,4,0,19
"77","Under 3s","Voluntary or Not for Profit","Ladybird Playgroup - Arbroath","Angus","15/04/2019",4,4,4,4,0,16
"78","Over 3s","Voluntary or Not for Profit","Letham Out of School Club","Angus","10/04/2024",4,4,3,3,0,14
"79","Under 3s","Voluntary or Not for Profit","Lochside Playgroup","Angus","17/01/2023",5,5,4,5,0,19
"80","Over 3s","Voluntary or Not for Profit","Monifieth Out Of School Care Club (Grange)","Angus","27/07/2023",5,5,5,5,0,20
"81","Over 3s","Voluntary or Not for Profit","Monifieth Out Of School Care Club (Seaview)","Angus","10/05/2023",5,5,4,4,0,18
"82","Under 3s","Voluntary or Not for Profit","Mothergoose Playgroup","Angus","11/01/2023",5,4,5,4,0,18
"83","Under 3s","Voluntary or Not for Profit","Muirfield Playgroup","Angus","30/06/2022",5,5,5,5,0,20
"84","Under 3s","Voluntary or Not for Profit","Panmure Pre School","Angus","10/02/2023",5,5,5,5,0,20
"85","Under 3s","Private","Rompers Nursery","Angus","17/09/2019",6,4,6,4,0,20
"86","Under 3s","Private","Stepping Stones Playgroup","Angus","15/02/2023",4,4,4,4,0,16
"87","Under 3s","Voluntary or Not for Profit","Sunshine Play School","Angus","21/03/2023",5,4,5,5,0,19
"88","Under 3s","Private","Hayshead Playgroup","Angus","19/12/2022",5,5,5,5,0,20
"89","Under 3s","Voluntary or Not for Profit","Meadows Under Fives Group","Argyll & Bute","14/08/2023",4,5,5,5,0,19
"90","Under 3s","Voluntary or Not for Profit","Patchwork 2-5 Nursery","Argyll & Bute","07/11/2018",4,4,4,4,0,16
"91","Under 3s","Voluntary or Not for Profit","Clyde Cottage Nursery","Argyll & Bute","30/11/2023",4,4,4,4,0,16
"92","Over 3s","Voluntary or Not for Profit","ESCAPE","Argyll & Bute","30/09/2022",4,4,4,4,0,16
"93","Under 3s","Voluntary or Not for Profit","Soroba Young Family Centre","Argyll & Bute","26/06/2018",4,4,4,4,0,16
"94","Over 3s","Voluntary or Not for Profit","Schools Out Oban","Argyll & Bute","26/09/2019",5,5,4,5,0,19
"95","Under 3s","Private","Oban's 1st Steps Day Nursery Ltd.","Argyll & Bute","24/06/2019",4,4,4,4,0,16
"96","Under 3s","Private","Mulberry Bush Nursery","Argyll & Bute","29/11/2019",6,5,4,5,0,20
"97","Under 3s","Private","Clyde Nursery","Argyll & Bute","15/08/2022",5,5,4,4,0,18
"98","Under 3s","Private","Nursery Rhymes Childcare Ltd","Argyll & Bute","02/08/2023",4,4,4,4,0,16
"99","Over 3s","Voluntary or Not for Profit","Alva Play Pals Out Of School Care","Clackmannanshire","20/12/2022",5,4,4,5,0,18
"100","Over 3s","Local Authority","Kidzone Out Of School Care","Clackmannanshire","28/05/2024",5,5,5,5,0,20
"101","Under 3s","Voluntary or Not for Profit","Bellsbank Project Creche","East Ayrshire","01/03/2023",4,4,4,4,0,16
"102","Under 3s","Voluntary or Not for Profit","The Avenue Childcare Services - Daycare of Children","East Ayrshire","22/07/2019",4,5,4,5,0,18
"103","Over 3s","Voluntary or Not for Profit","Bellfield Before & After School Care","East Ayrshire","12/11/2018",4,4,4,5,0,17
"104","Over 3s","Voluntary or Not for Profit","PEACE Dunlop Schools Out","East Ayrshire","01/08/2022",4,4,4,4,0,16
"105","Over 3s","Voluntary or Not for Profit","St. Mary's Nursery","East Dunbartonshire","07/11/2018",5,5,5,5,0,20
"106","Over 3s","Voluntary or Not for Profit","Bishopbriggs Village Nursery","East Dunbartonshire","07/01/2019",5,5,5,5,0,20
"107","Under 3s","Private","Auchinairn After School Care","East Dunbartonshire","06/01/2023",6,5,5,6,0,22
"108","Over 3s","Voluntary or Not for Profit","Cumbernauld YMCA - POMP Lenzie Meadow","East Dunbartonshire","17/05/2024",4,4,4,4,0,16
"109","Under 3s","Private","Cedar Nursery","East Dunbartonshire","12/09/2019",4,4,4,5,0,17
"110","Under 3s","Private","Happitots Day Nursery - Bishopbriggs","East Dunbartonshire","24/11/2023",2,3,3,3,1,11
"111","Over 3s","Private","Step By Step Out Of School Club","East Dunbartonshire","11/03/2019",5,5,6,6,0,22
"112","Over 3s","Voluntary or Not for Profit","Cumbernauld YMCA - Colquhoun Park OSC (POMP)","East Dunbartonshire","19/09/2023",4,3,3,4,0,14
"113","Over 3s","Private","BPC Karemore Out of School Club","East Dunbartonshire","25/01/2018",5,5,5,6,0,21
"114","Over 3s","Private","Cedar After School Care","East Dunbartonshire","20/01/2022",4,4,4,4,0,16
"115","Under 3s","Voluntary or Not for Profit","Maxholme Nursery School","East Dunbartonshire","13/01/2020",5,5,5,5,0,20
"116","Under 3s","Voluntary or Not for Profit","Baldernock Childcare","East Dunbartonshire","18/02/2020",5,5,5,5,0,20
"117","Over 3s","Voluntary or Not for Profit","Time Out Club, Milngavie","East Dunbartonshire","21/01/2020",5,5,5,5,0,20
"118","Under 3s","Private","The Bearsden Nursery","East Dunbartonshire","29/05/2024",3,4,4,4,0,15
"119","Over 3s","Voluntary or Not for Profit","Time Out Club, Castlehill","East Dunbartonshire","16/10/2019",5,4,5,5,0,19
"120","Over 3s","Voluntary or Not for Profit","Bearsden Primary After School Club","East Dunbartonshire","03/10/2023",5,4,4,4,0,17
"121","Under 3s","Private","Craighead Childcare Centre","East Dunbartonshire","21/01/2022",5,5,5,5,0,20
"122","Over 3s","Voluntary or Not for Profit","Time Out Club, Craigdhu","East Dunbartonshire","27/02/2020",5,4,5,5,0,19
"123","Under 3s","Private","Happy Days","East Dunbartonshire","03/04/2019",4,5,4,5,1,18
"124","Over 3s","Private","MACS Eastwood","East Renfrewshire","05/08/2019",5,5,5,5,0,20
"125","Over 3s","Voluntary or Not for Profit","Braidbar After School Care","East Renfrewshire","07/02/2020",5,4,5,4,0,18
"126","Over 3s","Voluntary or Not for Profit","Broom Nursery","East Renfrewshire","30/06/2017",4,4,4,4,0,16
"127","Under 3s","Voluntary or Not for Profit","Clarkston Nursery","East Renfrewshire","13/12/2018",4,4,4,5,0,17
"128","Over 3s","Private","Schools' Out!","East Renfrewshire","16/05/2017",4,4,4,4,0,16
"129","Over 3s","Local Authority","East Renfrewshire CHCP Holiday Programme and Inclusive Support Service","East Renfrewshire","04/10/2022",5,5,4,5,0,19
