"Subtype","Provider","Name","Town","Clients","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 21/22","Enforcements since 21/22"
NA,"Voluntary or Not for Profit","CATH Accommodation Projects","Perth","Adults","10/10/2017",5,5,NA,4,5,"25/08/2017","2004_11",0,0
NA,"Voluntary or Not for Profit","Wheatley Homes South Limited","Dumfries","Adults","20/06/2018",5,5,NA,5,6,"07/03/2018","2004_9",0,0
NA,"Voluntary or Not for Profit","Cornerstone Aberdeen East","Aberdeen","Adults","16/05/2022",3,3,NA,3,3,"09/02/2022","2004_9",0,0
NA,"Voluntary or Not for Profit","Grampian Women's Aid","Aberdeen","Adults","02/03/2020",5,4,NA,5,4,"20/01/2020","2004_8",0,0
NA,"Private","My Care Grampian","Aberdeen","Adults","30/06/2023",4,4,NA,4,4,"24/05/2023","2004_9",1,1
NA,"Voluntary or Not for Profit","Abbeyfield Stewartry Society Ltd","Castle Douglas","Adults","23/04/2019",5,5,NA,5,6,"05/04/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","RAMH","Paisley","Adults","17/06/2019",6,6,NA,6,5,"22/05/2019","2004_10",0,0
NA,"Local Authority","Intermediate Care Team, ICT East","Kilmarnock","Adults","28/07/2023",5,4,NA,4,4,"17/07/2023","2004_7",0,0
NA,"Local Authority","Housing Services","Kilmarnock","Adults","11/12/2017",4,4,NA,4,4,"24/10/2017","2004_9",0,0
NA,"Private","The Howard Doris Centre","Strathcarron","Adults","15/02/2022",4,4,4,4,4,"21/01/2022","2004_9",0,0
NA,"Voluntary or Not for Profit","Dumfriesshire & Stewartry Women's Aid","Dumfries","Adults","18/10/2019",5,5,NA,5,5,"09/07/2019","2004_11",0,0
NA,"Private","Independent Living Support","Dumfries","Adults","14/06/2018",5,5,NA,4,4,"14/05/2018","2004_8",0,0
NA,"Voluntary or Not for Profit","DGMHA Housing Support Service","Dumfries","Adults","10/08/2023",4,3,NA,4,4,"24/05/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","Lothlorien Community","Castle Douglas","Adults","12/06/2017",6,6,NA,6,6,"24/03/2017","2004_8",0,0
NA,"Voluntary or Not for Profit","Enable Glasgow Housing Support Unit","Glasgow","Adults","10/10/2023",5,6,NA,5,5,"01/09/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Inverclyde Association for Mental Health Housing Support Unit","Greenock","Adults","19/10/2016",5,5,NA,5,5,"12/10/2016","2004_12",0,0
NA,"Voluntary or Not for Profit","Share Scotland - Edinburgh","Edinburgh","Adults","11/10/2023",5,5,NA,5,4,"29/05/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Share Scotland - Glasgow","Glasgow","Adults","15/11/2019",5,5,NA,5,4,"11/10/2019","2004_7",0,0
NA,"Voluntary or Not for Profit","HELP (Argyll & Bute) Ltd Housing Support Service","Dunoon","Adults","18/03/2019",6,6,NA,6,6,"19/02/2019","2004_12",0,0
NA,"Voluntary or Not for Profit","Carman Care","Dumbarton","Adults","21/04/2023",5,5,NA,5,4,"06/03/2023","2004_12",1,1
NA,"Voluntary or Not for Profit","Linstone Housing Association Ltd Housing Support Unit","Paisley","Adults","15/08/2018",5,5,NA,5,4,"16/07/2018","2004_10",0,0
NA,"Voluntary or Not for Profit","Neighbourhood Networks","Glasgow","Adults","01/05/2023",6,6,NA,5,5,"20/04/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Rotary Residential and Care Centres","Glasgow","Adults","27/09/2023",5,5,NA,5,5,"30/08/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Talbot Association Housing Support Branch","Glasgow","Adults","20/11/2023",3,3,NA,3,3,"26/10/2023","2005_3",0,0
NA,"Voluntary or Not for Profit","Guide Communicator Service","Kirkintilloch","Adults","22/01/2020",5,5,NA,4,5,"15/11/2023","2004_9",0,0
NA,"Local Authority","Connor Road Young Person's Supported Accommodation","Glasgow","Adults","05/09/2019",5,5,NA,5,5,"07/08/2019","2004_11",0,0
NA,"Voluntary or Not for Profit","Bridgewater Housing Association Ltd Housing Support Unit","Erskine","Adults","20/10/2017",6,6,NA,6,6,"11/10/2017","2004_9",0,0
NA,"Voluntary or Not for Profit","Glasgow Simon Community - Housing Support Branch","Glasgow","Adults","12/01/2018",4,4,NA,4,5,"30/10/2017","2005_4",0,0
NA,"Voluntary or Not for Profit","Maxie Richards Foundation","Tighnabruaich","Adults","14/08/2018",5,5,NA,5,5,"20/06/2018","2004_11",0,0
NA,"Private","Highland Home Carers","Inverness","Adults","31/07/2023",4,5,NA,4,5,"18/07/2019","2004_8",0,0
NA,"Voluntary or Not for Profit","Cosgrove Care - Home Care Service","Glasgow","Adults","17/07/2023",4,5,NA,4,4,"09/06/2023","2004_8",0,0
NA,"Private","Alcohol & Drugs Support South West Scotland","Castle Douglas","Adults","17/03/2017",5,5,NA,5,6,"09/02/2017","2005_2",0,0
NA,"Private","Carewatch (Glasgow)","Glasgow","Adults","13/04/2023",4,5,NA,5,4,"02/02/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Supported Accommodation Services","Glasgow","Adults","16/11/2023",5,5,NA,4,4,"24/10/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","Bagatelle Court Sheltered Housing","Greenock","Adults","15/11/2023",4,5,NA,5,3,"27/09/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Alternatives West Dunbartonshire Community Drug Services Housing Support Unit","Clydebank","Adults","02/11/2017",5,5,NA,5,4,"31/08/2017","2004_11",0,0
NA,"Voluntary or Not for Profit","Capability Scotland - Fife Services","Dunfermline","Adults","12/01/2023",4,4,NA,5,4,"08/12/2022","2004_8",0,0
NA,"Voluntary or Not for Profit","Wemyss House","Prestonpans","Adults","23/03/2020",5,5,NA,5,5,"06/02/2020","2004_10",0,0
NA,"Voluntary or Not for Profit","Moray Women's Aid","Elgin","Adults","16/11/2023",4,5,NA,2,4,"18/10/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Capability Scotland - Community Living Services South West","Glasgow","Adults","25/06/2020",5,5,NA,5,5,"24/01/2020","2004_8",0,0
NA,"Voluntary or Not for Profit","Community Help and Advice Initiative","Edinburgh","Adults","31/07/2017",4,4,NA,5,4,"10/07/2017","2004_8",0,0
NA,"Local Authority","Housing Support","Irvine","Adults","26/03/2018",6,6,NA,6,6,"07/02/2018","2004_10",0,0
NA,"Voluntary or Not for Profit","Tollcross Housing Association","Glasgow","Adults","27/08/2018",5,5,NA,5,5,"25/07/2018","2004_10",0,0
NA,"Local Authority","North Ayrshire Council Short Stay Hostel","Ardrossan","Adults","18/08/2017",6,6,NA,6,6,"26/04/2017","2004_10",0,0
NA,"Private","Joans Carers Ltd","Helensburgh","Adults","17/11/2023",4,3,NA,5,4,"02/10/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Barrhead Housing Association Housing Support Unit","Glasgow","Adults","05/02/2014",5,5,NA,5,5,"12/02/2016","2004_12",0,0
NA,"Voluntary or Not for Profit","Baillieston Community Care Ltd","Glasgow","Adults","25/04/2023",4,5,NA,4,4,"27/03/2023","2004_11",0,0
NA,"Health Board","NHS Forth Valley Community Residential Resources","Camelon","Adults","27/06/2023",6,5,NA,5,6,"09/06/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","withYOU Horizons Young People's Service","Edinburgh","Adults","24/09/2020",5,5,NA,5,5,"13/03/2020","2004_8",0,0
NA,"Voluntary or Not for Profit","withYOU East Craigs Learning Disabilities Service","Edinburgh","Adults","09/03/2023",5,5,NA,4,5,"01/02/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","with YOU St. Leonards Older People's Service","Edinburgh","Adults","30/05/2023",5,6,NA,4,4,"24/03/2023","2004_8",1,1
NA,"Voluntary or Not for Profit","with YOU West Lothian Mental Health Service","Livingston","Adults","18/07/2023",3,3,NA,3,3,"05/07/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","with YOU Lothian Service","Tranent","Adults","20/02/2023",4,3,NA,4,3,"16/01/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","withYOU Edinburgh Mental Health Service","Edinburgh","Adults","06/05/2022",5,5,NA,5,5,"05/05/2022","2004_8",0,0
NA,"Voluntary or Not for Profit","withYOU Peffer Learning Disabilities Service","Edinburgh","Adults","27/11/2023",5,5,NA,6,4,"01/11/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Inclusion Glasgow Supported Living 1","Glasgow","Adults","23/06/2023",5,4,NA,4,3,"28/04/2023","2005_4",0,0
NA,"Voluntary or Not for Profit","Health in Mind Trauma Services","Edinburgh","Adults","05/02/2020",5,5,NA,5,5,"13/01/2020","2004_8",0,0
NA,"Voluntary or Not for Profit","Trust Housing Association Ltd - Branch 1","Edinburgh","Adults","13/03/2020",6,6,NA,6,6,"25/02/2020","2004_7",1,1
NA,"Voluntary or Not for Profit","SeAscape","Ayr","Adults","06/07/2017",4,4,NA,4,4,"02/06/2017","2004_9",0,0
NA,"Voluntary or Not for Profit","Trust Housing Association Ltd - Branch 2","Glasgow","Adults","25/09/2023",5,5,NA,5,5,"06/09/2023","2004_7",0,0
NA,"Private","Aspire West Housing Support Service","Glasgow","Adults","26/04/2023",5,5,NA,5,4,"17/04/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","The Rock Trust - Bedrock and Housing First for Youth","Edinburgh","Adults","16/01/2020",5,5,NA,5,5,"16/12/2019","2004_7",0,0
NA,"Voluntary or Not for Profit","Dean & Cauvin Aftercare Service","Edinburgh","Adults","17/09/2020",5,5,NA,5,5,"04/03/2020","2004_7",0,0
NA,"Voluntary or Not for Profit","Eildon Housing Association - Sheltered & Very Sheltered Housing","Selkirk","Adults","28/06/2023",5,5,NA,5,5,"22/06/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Eildon Housing Association - Station Avenue Outreach","Duns","Adults","01/09/2023",5,5,NA,4,5,"14/08/2023","2004_9",1,1
NA,"Voluntary or Not for Profit","Streets Ahead (West) - Care at Home/Housing Support","Hawick","Adults","27/04/2023",5,5,NA,5,5,"26/04/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Penumbra - West Fife Supported Living Service","Dunfermline","Adults","24/10/2023",5,5,NA,6,5,"26/09/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Penumbra - Borders Supported Living Service","Galashiels","Adults","10/09/2018",6,6,NA,5,5,"31/07/2018","2004_7",0,0
NA,"Voluntary or Not for Profit","North Lanarkshire Supported Living Service","Glasgow","Adults","23/10/2023",5,5,NA,5,4,"07/09/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Homelife Girvan","Girvan","Adults","08/06/2023",5,5,NA,5,5,"28/04/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Scottish Autism - West of Scotland Outreach","Castlemilk","Adults","03/12/2019",4,4,NA,4,5,"31/10/2019","2004_7",0,0
NA,"Voluntary or Not for Profit","Scottish Autism - Central Outreach Team","Alloa","Adults","26/01/2023",5,5,NA,6,5,"19/01/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Scottish Autism - South West Scotland Services","Lanark","Adults","18/12/2019",5,5,NA,5,5,"27/11/2019","2004_7",0,0
NA,"Private","Stoneywood Care Services Ltd","Denny","Adults","06/10/2023",4,5,NA,5,4,"22/09/2023","2004_7",0,0
NA,"Local Authority","Meiklehill","Kirkintilloch","Adults","23/11/2023",5,5,NA,5,5,"06/10/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Glasgow SOLE","Glasgow","Adults","29/01/2020",6,6,NA,6,5,"28/11/2019","2004_10",0,0
NA,"Voluntary or Not for Profit","East Dunbartonshire Phase 1","Glasgow","Adults","17/07/2023",5,5,NA,4,4,"01/06/2023","2004_10",0,0
