"Subtype","Provider","Name","Town","Clients","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"Other than Care at home","Voluntary or Not for Profit","Threshold Glasgow Day Opportunities","Glasgow","Adults","08/12/2017",5,5,4,5,5,"20/11/2017","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","JCS Wellbeing Hub","Giffnock","Adults","14/11/2023",5,4,5,4,5,"26/10/2023","2002_4",0,0
"Care at Home","Local Authority","Len Ironside Centre","Aberdeen","Adults","11/12/2023",5,5,4,5,4,"30/11/2023","2002_4",0,0
"Care at Home","Local Authority","Banff Day Opportunities","Banff","Adults","14/08/2019",4,3,6,5,6,"05/07/2019","2002_4",0,0
"Care at Home","Local Authority","Ellon Day Opportunities","Ellon","Adults","16/09/2019",5,5,5,5,5,"31/07/2019","2002_4",0,0
"Care at Home","Local Authority","South Day Services","Stonehaven","Adults","06/10/2017",5,5,4,5,5,"27/09/2017","2002_4",0,0
"Care at Home","Local Authority","Aileen Duffus","Inverurie","Adults","19/06/2015",5,5,5,5,5,"07/05/2015","2002_4",0,0
"Care at Home","Local Authority","Fraserburgh Day Opportunities","Fraserburgh","Adults","23/03/2016",5,5,5,6,5,"23/02/2016","2002_4",0,0
"Care at Home","Local Authority","Buchan Day Opportunities","Fraserburgh","Adults","06/03/2018",5,5,5,5,5,"06/02/2018","2002_4",0,0
"Other than Care at home","Local Authority","Kinloch Day Care Service","Carnoustie","Adults","04/04/2018",4,4,5,4,4,"12/02/2018","2002_4",0,0
"Other than Care at home","Local Authority","Lilybank Resource Centre","Forfar","Adults","18/07/2018",6,6,6,6,6,"10/07/2018","2002_4",0,0
"Other than Care at home","Local Authority","Lochlands Adult Resource Centre","Arbroath","Adults","19/08/2016",5,5,5,5,5,"14/06/2016","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","The Dalhousie Centre","Brechin","Adults","27/03/2017",5,5,5,4,4,"14/02/2017","2002_4",0,0
