"Date","Council","Wellbeing support","Care and support","Setting","Staffing","Leadership"
"Sep-19","Aberdeen City","4.352941","4.382353","4.000000","4.000000","4.200000"
"Sep-19","Aberdeenshire","4.320000","4.300000","3.928571","4.285714","3.928571"
"Sep-19","Angus","3.846154","3.807692","3.142857","3.000000","3.125000"
"Sep-19","Argyll & Bute","3.833333","3.666667","3.571429","3.500000","3.333333"
"Sep-19","City of Edinburgh","4.041667","3.958333","3.687500","3.705882","3.875000"
"Sep-19","Clackmannanshire","4.571429","4.428571","3.500000","3.500000","3.000000"
"Sep-19","Dumfries & Galloway","4.160000","4.080000","3.700000","3.444444","3.583333"
"Sep-19","Dundee City","3.892857","3.892857","3.545455","3.888889","3.600000"
"Sep-19","East Ayrshire","3.615385","3.461538","3.285714","3.285714","3.285714"
"Sep-19","East Dunbartonshire","3.700000","3.700000","3.400000","2.800000","2.800000"
"Sep-19","East Lothian","4.250000","4.187500","3.833333","3.600000","3.428571"
"Sep-19","East Renfrewshire","3.727273","3.545455","4.000000","3.285714","2.857143"
"Sep-19","Falkirk","4.250000","4.173913","3.600000","3.700000","3.700000"
"Sep-19","Fife","4.187500","4.437500","3.736842","3.684211","3.578947"
"Sep-19","Glasgow City","4.104478","3.940299","3.851852","3.666667","3.407407"
"Sep-19","Highland","4.326923","4.134615","3.687500","3.526316","3.666667"
"Sep-19","Inverclyde","4.625000","4.500000","4.000000","4.000000","4.000000"
"Sep-19","Midlothian","4.000000","4.125000","3.500000","3.600000","3.500000"
"Sep-19","Moray","3.692308","3.692308","3.333333","3.285714","3.428571"
"Sep-19","Na h-Eileanan Siar","4.285714","4.142857","4.000000","3.666667","3.000000"
"Sep-19","North Ayrshire","4.190476","3.809524","3.142857","3.285714","3.166667"
"Sep-19","North Lanarkshire","4.037037","3.666667","3.928571","3.750000","3.266667"
"Sep-19","Orkney Islands","4.500000","4.500000","2.000000","4.000000","3.000000"
"Sep-19","Perth & Kinross","4.514286","4.085714","3.555556","3.666667","3.500000"
"Sep-19","Renfrewshire","4.416667","4.416667","4.000000","4.000000","3.888889"
"Sep-19","Scottish Borders","4.222222","4.166667","3.600000","3.555556","3.428571"
"Sep-19","Shetland Islands","4.222222","4.666667","4.000000","4.000000","3.000000"
"Sep-19","South Ayrshire","3.812500","3.812500","3.400000","3.111111","3.222222"
"Sep-19","South Lanarkshire","3.863636","3.750000","3.566667","3.758621","3.466667"
"Sep-19","Stirling","3.812500","3.687500","2.875000","3.000000","3.142857"
"Sep-19","West Dunbartonshire","4.000000","4.000000","3.833333","3.800000","3.400000"
"Sep-19","West Lothian","4.347826","4.217391","3.750000","3.222222","3.250000"
"Oct-19","Aberdeen City","4.394737","4.394737","4.000000","4.000000","4.166667"
"Oct-19","Aberdeenshire","4.313725","4.274510","3.866667","4.266667","3.933333"
"Oct-19","Angus","3.931034","3.965517","3.142857","3.250000","3.375000"
"Oct-19","Argyll & Bute","4.142857","3.714286","3.714286","3.666667","3.500000"
"Oct-19","City of Edinburgh","4.000000","3.920000","3.611111","3.666667","3.823529"
"Oct-19","Clackmannanshire","4.571429","4.428571","3.500000","3.500000","3.000000"
"Oct-19","Dumfries & Galloway","4.148148","4.111111","3.666667","3.454545","3.538462"
"Oct-19","Dundee City","3.892857","3.892857","3.545455","3.888889","3.600000"
"Oct-19","East Ayrshire","3.733333","3.600000","3.600000","3.500000","3.500000"
"Oct-19","East Dunbartonshire","3.833333","3.750000","3.666667","3.166667","3.000000"
"Oct-19","East Lothian","4.250000","4.187500","4.000000","3.700000","3.571429"
"Oct-19","East Renfrewshire","3.818182","3.545455","4.000000","3.285714","2.857143"
"Oct-19","Falkirk","4.250000","4.130435","3.666667","3.666667","3.583333"
"Oct-19","Fife","4.191176","4.411765","3.700000","3.650000","3.550000"
"Oct-19","Glasgow City","4.136986","3.945205","3.793103","3.620690","3.413793"
"Oct-19","Highland","4.310345","4.103448","3.650000","3.545455","3.636364"
"Oct-19","Inverclyde","4.500000","4.333333","4.000000","4.000000","4.000000"
"Oct-19","Midlothian","4.000000","4.111111","3.500000","3.600000","3.500000"
"Oct-19","Moray","3.692308","3.692308","3.333333","3.285714","3.428571"
"Oct-19","Na h-Eileanan Siar","4.285714","4.000000","4.000000","3.500000","3.000000"
"Oct-19","North Ayrshire","4.095238","3.857143","3.222222","3.333333","3.125000"
"Oct-19","North Lanarkshire","3.965517","3.620690","3.882353","3.684211","3.222222"
"Oct-19","Orkney Islands","4.428571","4.428571","3.000000","4.000000","3.000000"
"Oct-19","Perth & Kinross","4.444444","4.027778","3.555556","3.555556","3.500000"
"Oct-19","Renfrewshire","4.375000","4.416667","4.000000","3.888889","3.888889"
"Oct-19","Scottish Borders","4.222222","4.166667","3.600000","3.555556","3.428571"
"Oct-19","Shetland Islands","4.111111","4.555556","4.000000","4.000000","3.000000"
"Oct-19","South Ayrshire","4.058824","4.000000","3.545455","3.444444","3.444444"
"Oct-19","South Lanarkshire","3.936170","3.765957","3.580645","3.781250","3.483871"
"Oct-19","Stirling","3.866667","3.600000","2.875000","3.142857","3.142857"
"Oct-19","West Dunbartonshire","4.111111","4.000000","3.833333","3.800000","3.400000"
"Oct-19","West Lothian","4.333333","4.208333","3.750000","3.222222","3.250000"
"Nov-19","Aberdeen City","4.500000","4.452381","4.000000","4.000000","4.166667"
"Nov-19","Aberdeenshire","4.407407","4.333333","3.875000","4.250000","3.937500"
"Nov-19","Angus","4.000000","3.965517","3.222222","3.666667","3.400000"
"Nov-19","Argyll & Bute","4.133333","3.733333","3.750000","3.714286","3.428571"
"Nov-19","City of Edinburgh","4.000000","3.943396","3.600000","3.650000","3.900000"
"Nov-19","Clackmannanshire","4.625000","4.500000","3.500000","3.500000","3.000000"
"Nov-19","Dumfries & Galloway","4.000000","4.071429","3.714286","3.461538","3.466667"
"Nov-19","Dundee City","3.892857","3.892857","3.545455","3.888889","3.600000"
"Nov-19","East Ayrshire","3.611111","3.555556","3.538462","3.461538","3.384615"
"Nov-19","East Dunbartonshire","3.769231","3.692308","3.714286","3.142857","3.000000"
"Nov-19","East Lothian","4.250000","4.187500","4.000000","3.700000","3.571429"
"Nov-19","East Renfrewshire","3.916667","3.583333","4.000000","3.285714","3.000000"
"Nov-19","Falkirk","4.250000","4.130435","3.666667","3.666667","3.583333"
"Nov-19","Fife","4.180556","4.388889","3.666667","3.619048","3.523810"
"Nov-19","Glasgow City","4.175000","4.012500","3.838710","3.612903","3.419355"
"Nov-19","Highland","4.316667","4.116667","3.700000","3.565217","3.652174"
"Nov-19","Inverclyde","4.384615","4.307692","3.500000","4.000000","3.500000"
"Nov-19","Midlothian","3.833333","3.916667","3.428571","3.500000","3.714286"
"Nov-19","Moray","3.692308","3.692308","3.285714","3.285714","3.375000"
"Nov-19","Na h-Eileanan Siar","4.250000","3.875000","3.333333","3.400000","3.000000"
"Nov-19","North Ayrshire","4.142857","3.904762","3.222222","3.444444","3.250000"
"Nov-19","North Lanarkshire","4.033333","3.700000","3.888889","3.842105","3.315789"
"Nov-19","Orkney Islands","4.571429","4.571429","3.000000","4.000000","3.000000"
"Nov-19","Perth & Kinross","4.421053","4.078947","3.700000","3.600000","3.636364"
"Nov-19","Renfrewshire","4.375000","4.375000","4.000000","3.888889","3.888889"
"Nov-19","Scottish Borders","4.300000","4.250000","3.583333","3.454545","3.500000"
"Nov-19","Shetland Islands","4.111111","4.555556","4.000000","4.000000","3.000000"
"Nov-19","South Ayrshire","4.000000","4.000000","3.545455","3.222222","3.444444"
"Nov-19","South Lanarkshire","3.916667","3.729167","3.625000","3.794118","3.437500"
"Nov-19","Stirling","3.875000","3.625000","2.875000","3.142857","3.375000"
"Nov-19","West Dunbartonshire","4.222222","4.222222","4.000000","4.000000","3.800000"
"Nov-19","West Lothian","4.320000","4.160000","3.777778","3.200000","3.333333"
"Dec-19","Aberdeen City","4.500000","4.454545","4.000000","4.000000","4.166667"
"Dec-19","Aberdeenshire","4.421053","4.350877","3.823529","4.294118","4.000000"
"Dec-19","Angus","4.000000","3.931034","3.200000","3.700000","3.454545"
"Dec-19","Argyll & Bute","4.117647","3.764706","3.800000","3.777778","3.333333"
"Dec-19","City of Edinburgh","3.983607","3.901639","3.708333","3.666667","3.916667"
"Dec-19","Clackmannanshire","4.625000","4.500000","3.500000","3.500000","3.000000"
"Dec-19","Dumfries & Galloway","4.000000","4.103448","3.714286","3.461538","3.466667"
"Dec-19","Dundee City","4.035714","4.000000","3.600000","4.000000","3.666667"
"Dec-19","East Ayrshire","3.684211","3.578947","3.571429","3.500000","3.428571"
"Dec-19","East Dunbartonshire","4.250000","3.937500","3.888889","3.444444","3.333333"
"Dec-19","East Lothian","4.235294","4.176471","4.000000","3.727273","3.625000"
"Dec-19","East Renfrewshire","3.833333","3.666667","4.000000","3.142857","3.000000"
"Dec-19","Falkirk","4.291667","4.130435","3.833333","3.666667","3.583333"
"Dec-19","Fife","4.121622","4.337838","3.695652","3.521739","3.565217"
"Dec-19","Glasgow City","4.132530","4.000000","3.843750","3.625000","3.375000"
"Dec-19","Highland","4.333333","4.116667","3.700000","3.608696","3.652174"
"Dec-19","Inverclyde","4.470588","4.411765","3.666667","4.000000","3.500000"
"Dec-19","Midlothian","3.833333","3.916667","3.428571","3.500000","3.714286"
"Dec-19","Moray","3.615385","3.615385","3.285714","3.125000","3.222222"
"Dec-19","Na h-Eileanan Siar","4.250000","3.875000","3.333333","3.400000","3.000000"
"Dec-19","North Ayrshire","4.181818","4.000000","3.400000","3.600000","3.444444"
"Dec-19","North Lanarkshire","4.129032","3.741935","4.000000","3.950000","3.500000"
"Dec-19","Orkney Islands","4.571429","4.571429","3.000000","4.000000","3.000000"
