"Date","Council","Setting","Staffing","Leadership","Play and learning"
"Sep 2019","Aberdeen City","4.382353","4.000000","4.200000","4.200000"
"Sep 2019","Aberdeenshire","4.300000","4.285714","3.928571","3.928571"
"Aug 2022","Aberdeen City","3.666667","3.666667","3.000000","4.000000"
"Aug 2022","Aberdeenshire","4.000000","4.375000","4.125000","4.125000"
"Aug 2022","Angus","4.500000","4.000000","3.500000","4.250000"
"Aug 2022","Argyll & Bute","4.333333","4.666667","4.333333","4.333333"
"Aug 2022","City of Edinburgh","3.250000","3.083333","2.833333","2.916667"
"Aug 2022","Clackmannanshire","5.000000","5.000000","5.000000","5.000000"
"Aug 2022","Dumfries & Galloway","4.555556","4.000000","4.111111","4.333333"
"Aug 2022","Dundee City","3.714286","3.714286","3.142857","3.571429"
"Aug 2022","East Ayrshire","3.800000","4.000000","3.600000","4.000000"
"Aug 2022","East Dunbartonshire","3.000000","4.000000","3.000000","4.000000"
"Aug 2022","East Lothian","4.250000","4.250000","4.250000","4.375000"
"Aug 2022","East Renfrewshire","4.500000","3.333333","3.750000","4.500000"
"Aug 2022","Falkirk","4.000000","4.000000","3.875000","4.125000"
"Aug 2022","Fife","4.157895","4.052632","3.842105","4.157895"
"Aug 2022","Glasgow City","4.250000","4.250000","4.250000","4.250000"
"Aug 2022","Highland","3.928571","4.000000","3.285714","3.714286"
"Aug 2022","Inverclyde","4.333333","4.333333","4.333333","4.333333"
"Aug 2022","Midlothian","3.666667","3.666667","3.333333","3.666667"
"Aug 2022","Moray","4.000000","4.200000","3.800000","4.600000"
"Aug 2022","Na h-Eileanan Siar","4.800000","4.400000","4.400000","4.800000"
"Aug 2022","North Ayrshire","3.833333","3.666667","3.666667","3.833333"
"Aug 2022","North Lanarkshire","4.421053","4.421053","4.315789","4.473684"
"Aug 2022","Orkney Islands","3.800000","3.200000","3.400000","3.600000"
"Aug 2022","Perth & Kinross","3.714286","4.000000","3.571429","4.000000"
"Aug 2022","Renfrewshire","4.000000","4.000000","4.000000","4.000000"
"Aug 2022","Scottish Borders","4.142857","4.000000","3.857143","4.428571"
"Aug 2022","Shetland Islands","4.500000","4.000000","4.000000","3.500000"
"Aug 2022","South Ayrshire","2.000000","2.000000","2.000000","2.000000"
"Aug 2022","South Lanarkshire","3.900000","4.000000","4.100000","3.800000"
"Aug 2022","Stirling","4.500000","4.250000","4.000000","4.250000"
"Aug 2022","West Dunbartonshire","4.000000","4.500000","4.500000","4.500000"
"Aug 2022","West Lothian","4.666667","4.333333","4.000000","4.000000"
"Sep 2022","Aberdeen City","3.800000","3.900000","3.500000","4.166667"
"Sep 2022","Aberdeenshire","3.882353","4.294118","3.705882","3.923077"
"Sep 2022","Angus","4.333333","4.000000","3.500000","3.000000"
"Sep 2022","Argyll & Bute","4.142857","4.142857","4.000000","3.600000"
"Sep 2022","City of Edinburgh","3.450000","3.400000","3.050000","2.400000"
"Sep 2022","Clackmannanshire","4.250000","4.000000","3.750000","4.000000"
"Sep 2022","Dumfries & Galloway","4.500000","4.166667","4.250000","3.666667"
"Sep 2022","Dundee City","3.800000","3.700000","3.100000","3.500000"
"Sep 2022","East Ayrshire","3.857143","3.714286","3.428571","3.500000"
"Sep 2022","East Dunbartonshire","4.000000","4.600000","4.000000","4.333333"
"Sep 2022","East Lothian","4.000000","4.083333","4.083333","4.000000"
